State,Data Year,Revocations Population [C&C input],Population Fraction [C&C input],Revocations Admissions [C&C input],Admissions Fraction [C&C input],total cost per inmate [input],marginal cost per inmate [input],Number of facilities [input],State-wide capacity [input],Total Population,New Offense Population,Total Admissions,New Offense Admissions,New Offense Avg Time Served in Months,Revocations Timescale,N A,R A
Alabama,2019,278,0.01,6360,0.45,0.023,0.001,15,27922,"27,922","27,644","14,148","7,788",42.59476117,0.524528302,15.23661554,1010.431655
Alaska,2019,1646,0.36,3891,0.11,0.062,0.001,12,4599,"4,599","2,953","34,734","30,843",1.148915475,5.076329992,2237.10974,63.87488609
Arizona,2017,9825,0.23,7991,0.44,0.024,0.001,14,42141,"42,141","32,316","18,262","10,271",37.75601207,14.75409836,22.66967881,45.13435185
Arkansas,2019,7413,0.47,4980,0.54,0.023,0.001,20,15680,"15,680","8,267","9,289","4,309",23.02251102,17.8626506,15.59705338,23.23283421
California,2019,30983,0.25,12111,0.35,0.084,0.001,33,125195,"125,195","94,212","34,500","22,389",50.49551119,30.69903394,36.94882884,32.87562736
Colorado,2019,4101,0.21,3441,0.36,0.028,0.001,20,19951,"19,951","15,850","9,691","6,250",30.432,14.3016565,17.11466001,20.05012497
Connecticut,2019,,,1895,0.1,0.04,0.001,14,13100,"13,100","13,100","19,535","17,640",8.911564626,0,164.9541985,#DIV/0!
Delaware,2019,438,0.1,,,0.057,0.001,4,4436,"4,436","3,998","11,573","11,573",4.145511103,#DIV/0!,232.6411973,#DIV/0!
Florida,2019,13907,0.15,11281,0.36,0.023,0.001,143,95626,"95,626","81,719","31,669","20,388",48.09829311,14.79336938,35.32349882,63.54761441
Georgia,2017,11519,0.21,6066,0.35,0.022,0.001,34,54754,"54,754","43,235","17,237","11,171",46.4434697,22.78733927,20.04408096,22.18337095
Hawaii,2019,1417,0.33,2810,0.34,0.05,0.001,8,4337,"4,337","2,920","8,270","5,460",6.417582418,6.051245552,70.8989726,38.69726731
Idaho,2019,3903,0.43,5267,0.72,0.029,0.001,10,9038,"9,038","5,135","7,323","2,056",29.97081712,8.892348586,5.716672076,49.35891373
Illinois,2019,5708,0.15,7963,0.36,0.03,0.001,28,39306,"39,306","33,598","22,363","14,400",27.99833333,8.601783248,42.85969403,77.14485639
Indiana,2017,7913,0.3,6333,0.53,0.02,0.001,18,26679,"26,679","18,766","11,850","5,517",40.81783578,14.99384178,11.26345852,35.19778371
Iowa,2019,2682,0.32,2673,0.43,0.033,0.001,9,8431,"8,431","5,749","6,210","3,537",19.50466497,12.04040404,15.11176944,18.50020973
Kansas,2019,3085,0.31,4314,0.68,0.017,0.001,9,10044,"10,044","6,959","6,388","2,074",40.26422372,8.581363004,4.292478964,41.89311183
Kentucky,2017,10876,0.45,13665,0.64,0.028,0.001,12,24259,"24,259","13,383","21,444","7,779",20.64481296,9.550823271,31.40013917,119.2305593
Louisiana,2019,9426,0.3,8146,0.5,0.025,0.001,9,31519,"31,519","22,093","16,226","8,080",32.81138614,13.88558802,20.52133154,48.88761876
Maine,2019,,,452,0.41,0.045,0.001,6,2265,"2,265","2,265","1,102",650,41.81538462,0,1.295376502,#DIV/0!
Maryland,2019,1563,0.08,1973,0.27,0.041,0.001,19,19014,"19,014","17,451","7,392","5,419",38.64403026,9.50633553,11.68572041,17.29548322
Massachusetts,2019,222,0.03,265,0.12,0.08,0.001,16,7978,"7,978","7,756","2,201","1,936",48.07438017,10.05283019,3.355910836,2.196727978
Michigan,2019,1547,0.04,4344,0.5,0.039,0.001,20,38370,"38,370","36,823","8,686","4,342",101.7678489,4.273480663,3.555477857,84.708468
