State Abbrev,States,Total Non-Violation Admissions,Total Violation Admissions,Total Non-Technical Violation Admissions,Total Technical Violation Admissions,Total Probation Violation Admissions,Total Parole Violation Admissions,Probation New Offense Violation Admissions,Probation Technical Violation Admissions,Parole Technical Violation Admissions,Parole New Offense Violation Admissions,Admissions Year,,,,
AK,Alaska,87%,13%,6%,7%,11%,2%,5%,6%,1%,1%,2018,,,,
AL,Alabama,56%,44%,24%,20%,27%,17%,15%,12%,8%,9%,2018,,,,
AR,Arkansas,45%,55%,34%,21%,8%,47%,6%,2%,19%,28%,2018,,,,
AZ,Arizona,65%,35%,,,18%,17%,  ,  ,  ,  ,2018,,,,
CA,California,65%,35%,22%,13%,23%,12%,10%,13%,0%,12%,2018,,,,
CO,Colorado,62%,38%,11%,27%,0.2%,38%,0%,0%,27%,11%,2018,,,,
CT,Connecticut,91%,9%,4%,1%,4%,5%,  ,  ,1%,4%,2018,,,,
DE,Delaware,,,,,,,  ,  ,  ,  ,2018,,,,
FL,Florida,65%,35%,16%,19%,31%,4%,15%,16%,3%,1%,2018,,,,
GA,Georgia,62%,38%,,,25%,13%,  ,  ,5%,8%,2018,,,,
HI,Hawaii,59%,41%,25%,16%,37%,4%,23%,14%,2%,2%,2018,,,,
IA,Iowa,57%,43%,25%,18%,29%,14%,16%,13%,5%,9%,2018,,,,
ID,Idaho,29%,71%,59%,12%,46%,25%,37%,9%,3%,22%,2018,,,,
IL,Illinois,66%,34%,5%,29%,,34%,  ,  ,29%,5%,2018,,,,
IN,Indiana,51%,49%,16%,33%,29%,20%,13%,16%,17%,3%,2018,,,,
KS,Kansas,31%,69%,11%,58%,48%,21%,7%,41%,17%,4%,2018,,,,
KY,Kentucky,42%,58%,1%,31%,26%,32%,  ,  ,31%,1%,2018,,,,
LA,Louisiana,51%,49%,29%,20%,19%,30%,4%,15%,5%,25%,2018,,,,
MA,Massachusetts,89%,11%,2%,8%,1%,10%,  ,  ,8%,2%,2018,,,,
MD,Maryland,72%,28%,4%,24%,14%,14%,2%,12%,12%,2%,2018,,,,
ME,Maine,58%,42%,19%,23%,42%,,19%,23%,  ,  ,2018,,,,
MI,Michigan,49%,51%,11%,17%,23%,28%,  ,  ,17%,11%,2018,,,,
MN,Minnesota,36%,64%,5%,36%,23%,41%,  ,  ,36%,5%,2018,,,,
MO,Missouri,22%,78%,22%,56%,42%,36%,15%,27%,29%,7%,2018,,,,
MS,Mississippi,55%,45%,,,22%,23%,  ,  ,  ,  ,2018,,,,
MT,Montana,61%,39%,10%,29%,21%,18%,8%,13%,16%,2%,2018,,,,
NC,North Carolina,40%,60%,50%,10%,36%,24%,26%,10%,0%,24%,2018,,,,
ND,North Dakota,41%,59%,19%,40%,29%,30%,6%,23%,17%,13%,2018,,,,
NE,Nebraska,77%,23%,7%,7%,9%,14%,  ,  ,7%,7%,2018,,,,
NH,New Hampshire,45%,55%,,59%,10%,45%,  ,11%,48%,  ,2018,,,,
NJ,New Jersey,72%,28%,7%,21%,,28%,  ,  ,21%,7%,2018,,,,
NM,New Mexico,,,,,,,  ,  ,  ,  ,2018,,,,
NV,Nevada,61%,39%,1%,38%,23%,16%,1%,22%,16%,0%,2018,,,,
NY,New York,51%,49%,6%,43%,,49%,  ,  ,43%,6%,2018,,,,
OH,Ohio,,,,,,,  ,  ,  ,  ,2018,,,,
OK,Oklahoma,80%,20%,10%,10%,20%,0.4%,10%,10%,  ,  ,2018,,,,
OR,Oregon,54%,46%,17%,29%,43%,3%,16%,27%,2%,1%,2018,,,,
PA,Pennsylvania,57%,43%,21%,22%,,43%,  ,  ,22%,21%,2018,,,,
RI,Rhode Island,55%,45%,34%,11%,41%,4%,32%,9%,2%,2%,2018,,,,
SC,South Carolina,82%,18%,,,11%,7%,  ,  ,  ,  ,2018,,,,
SD,South Dakota,29%,71%,8%,63%,16%,55%,4%,12%,51%,4%,2018,,,,
TN,Tennessee,61%,39%,,,,39%,  ,  ,  ,  ,2018,,,,
TX,Texas,57%,43%,24%,19%,32%,11%,16%,16%,3%,8%,2018,,,,
UT,Utah,21%,79%,30%,49%,27%,52%,15%,12%,37%,15%,2018,,,,
VA,Virginia,49%,51%,38%,13%,51%,0%,38%,13%,0.1%,0.3%,2018,,,,
VT,Vermont,92%,8%,,,3%,5%,  ,  ,  ,  ,2018,,,,
WA,Washington,59%,41%,,,,41%,  ,  ,17%,24%,2018,,,,
WI,Wisconsin,41%,59%,15%,44%,18%,41%,,18%,26%,15%,2018,,,,
WV,West Virginia,71%,29%,8%,21%,13%,16%,0%,13%,8%,8%,2018,,,,
WY,Wyoming,45%,55%,6%,49%,24%,31%,3%,21%,28%,3%,2018,,,,
,,,,,,,,,,,,,,,,
,Total,59%,41%,21%,20%,21%,20%,12%,9%,11%,9%,,,,,
,,,,,,,,,,,,,,,,
,Count,47,47,39,40,41,45,28,30,40,39,,,,,
