State Abbrev,States,Total Non-Violation Admissions,Total Violation Admissions,Total Non-Technical Violation Admissions,Total Technical Violation Admissions,Total Probation Violation Admissions,Total Parole Violation Admissions,Probation New Offense Violation Admissions,Probation Technical Violation Admissions,Parole Technical Violation Admissions,Parole New Offense Violation Admissions,Admissions Year,
AK,Alaska,88%,12%,6%,6%,10%,2%,5%,5%,1%,1%,2019,
AL,Alabama,55%,45%,26%,19%,28%,17%,17%,11%,8%,9%,2019,
AR,Arkansas,46%,54%,31%,23%,9%,45%,7%,2%,21%,24%,2019,
AZ,Arizona,67%,33%,,,16%,17%,  ,  ,  ,  ,2019,
CA,California,65%,35%,22%,13%,22%,13%,9%,13%,0%,13%,2019,
CO,Colorado,64%,36%,13%,23%,0.2%,36%,0.1%,0.1%,23%,13%,2019,
CT,Connecticut,91%,9%,4%,1%,4%,5%,  ,  ,1%,4%,2019,
DE,Delaware,,,,,,,  ,  ,  ,  ,2019,
FL,Florida,65%,35%,17%,18%,32%,3%,16%,16%,2%,1%,2019,
GA,Georgia,67%,33%,8%,5%,20%,13%,  ,  ,5%,8%,2019,
HI,Hawaii,66%,34%,20%,14%,30%,4%,18%,12%,2%,2%,2019,
IA,Iowa,56%,44%,25%,19%,28%,16%,15%,13%,6%,10%,2019,
ID,Idaho,28%,72%,58%,14%,46%,26%,36%,10%,4%,22%,2019,
IL,Illinois,64%,36%,6%,30%,,36%,  ,  ,30%,6%,2019,
IN,Indiana,49%,51%,15%,36%,32%,19%,12%,20%,16%,3%,2019,
KS,Kansas,32%,68%,10%,58%,48%,20%,7%,41%,17%,3%,2019,
KY,Kentucky,41%,59%,1%,30%,28%,31%,  ,  ,30%,1%,2019,
LA,Louisiana,50%,50%,29%,21%,21%,29%,5%,16%,5%,24%,2019,
MA,Massachusetts,87%,13%,2%,10%,1%,12%,  ,  ,10%,2%,2019,
MD,Maryland,74%,26%,4%,22%,13%,13%,2%,11%,11%,2%,2019,
ME,Maine,59%,41%,19%,22%,41%,,19%,22%,  ,  ,2019,
MI,Michigan,50%,50%,10%,18%,22%,28%,  ,  ,18%,10%,2019,
MN,Minnesota,37%,63%,5%,35%,23%,40%,  ,  ,35%,5%,2019,
MO,Missouri,23%,77%,21%,56%,39%,38%,14%,25%,31%,7%,2019,
MS,Mississippi,53%,47%,  ,  ,22%,25%,  ,  ,  ,  ,2019,
MT,Montana,65%,35%,9%,26%,21%,14%,7%,14%,12%,2%,2019,
NC,North Carolina,41%,59%,49%,10%,34%,25%,24%,10%,0%,25%,2019,
ND,North Dakota,47%,53%,12%,41%,28%,25%,4%,24%,17%,8%,2019,
NE,Nebraska,76%,24%,9%,5%,10%,14%,  ,  ,5%,9%,2019,
NH,New Hampshire,35%,65%,,65%,11%,54%,  ,11%,54%,  ,2019,
NJ,New Jersey,71%,29%,7%,22%,,29%,  ,  ,22%,7%,2019,
NM,New Mexico,,,,,,,  ,  ,  ,  ,2019,
NV,Nevada,58%,42%,1%,41%,23%,19%,1%,22%,19%,0%,2019,
NY,New York,49%,51%,6%,45%,,51%,  ,  ,45%,6%,2019,
OH,Ohio,,,,,,,  ,  ,  ,  ,2019,
OK,Oklahoma,85%,15%,7%,8%,15%,0.3%,7%,8%,  ,  ,2019,
OR,Oregon,57%,43%,15%,28%,39%,4%,14%,25%,3%,1%,2019,
PA,Pennsylvania,55%,45%,21%,24%,,45%,  ,  ,24%,21%,2019,
RI,Rhode Island,62%,38%,30%,8%,34%,4%,28%,6%,2%,2%,2019,
SC,South Carolina,83%,17%,,,9%,8%,  ,  ,  ,  ,2019,
SD,South Dakota,25%,75%,9%,66%,16%,59%,4%,12%,54%,5%,2019,
TN,Tennessee,62%,38%,,,,38%,  ,  ,  ,  ,2019,
TX,Texas,58%,42%,24%,18%,31%,11%,16%,15%,3%,8%,2019,
UT,Utah,20%,80%,24%,56%,23%,57%,12%,11%,45%,12%,2019,
VA,Virginia,,,,,,,  ,  ,  ,  ,2019,
VT,Vermont,91%,9%,,,4%,5%,  ,  ,  ,  ,2019,
WA,Washington,59%,41%,24%,17%,,41%,  ,  ,17%,24%,2019,
WI,Wisconsin,32%,68%,23%,45%,26%,42%,10%,16%,29%,13%,2019,
WV,West Virginia,68%,32%,9%,23%,13%,19%,0%,13%,10%,9%,2019,
WY,Wyoming,43%,57%,9%,48%,27%,30%,5%,22%,26%,4%,2019,
,,,,,,,,,,,,,
,Total,60%,40%,20%,19%,19%,21%,11%,8%,11%,9%,,
,,,,,,,,,  ,  ,  ,,
,Count,46,46,40,41,40,45,28,29,39,38,,
