State Abbrev,States,Total Non-Violation Admissions,Total Violation Admissions,Total Non-Technical Violation Admissions,Total Technical Violation Admissions,Total Probation Violation Admissions,Total Parole Violation Admissions,Probation New Offense Violation Admissions,Probation Technical Violation Admissions,Parole Technical Violation Admissions,Parole New Offense Violation Admissions,Admissions Year,Reporting Year,Months Reported
AK,Alaska,89%,11%,6%,5%,9%,2%,5%,4%,1%,1%,2020,CY,7
AL,Alabama,55%,45%,31%,14%,30%,15%,19%,11%,3%,12%,2020,FY,8
AR,Arkansas,36%,64%,22%,42%,10%,54%,7%,3%,39%,15%,2020,CY,6
AZ,Arizona,,,,,,,  ,  ,  ,  ,2020,,
CA,California,66%,34%,23%,11%,20%,14%,9%,11%,0%,14%,2020,CY,9
CO,Colorado,67%,33%,13%,20%,0.2%,33%,0%,0%,20%,13%,2020,FY,6
CT,Connecticut,89%,11%,6%,2%,3%,8%,  ,  ,2%,6%,2020,CY,6
DE,Delaware,,,,,,,  ,  ,  ,  ,2020,FY,6
FL,Florida,67%,33%,17%,16%,30%,3%,16%,14%,2%,1%,2020,FY,12
GA,Georgia,,,,,,,  ,  ,  ,  ,2020,,
HI,Hawaii,60%,40%,24%,16%,35%,5%,21%,14%,2%,3%,2020,FY,12
IA,Iowa,56%,44%,25%,19%,27%,17%,14%,13%,6%,11%,2020,FY,12
ID,Idaho,32%,68%,53%,15%,49%,19%,38%,11%,4%,15%,2020,CY,6
IL,Illinois,63%,37%,5%,32%,,37%,  ,  ,32%,5%,2020,FY,
IN,Indiana,85%,15%,3%,12%,1%,14%,0%,1%,11%,3%,2020,CY,7
KS,Kansas,36%,64%,12%,52%,42%,22%,8%,34%,18%,4%,2020,FY,12
KY,Kentucky,40%,60%,2%,30%,28%,32%,  ,  ,30%,2%,2020,CY,6
LA,Louisiana,,,,,,,  ,  ,  ,  ,2020,CY,
MA,Massachusetts,80%,20%,6%,14%,0.4%,20%,  ,  ,14%,6%,2020,CY,7
MD,Maryland,73%,27%,4%,23%,14%,13%,2%,12%,11%,2%,2020,FY,12
ME,Maine,54%,46%,15%,31%,46%,,15%,31%,  ,  ,2020,CY,6
MI,Michigan,49%,51%,10%,20%,21%,30%,  ,  ,20%,10%,2020,CY,6
MN,Minnesota,38%,62%,5%,34%,23%,39%,  ,  ,34%,5%,2020,FY,12
MO,Missouri,21%,79%,17%,62%,37%,42%,12%,25%,37%,5%,2020,CY,6
MS,Mississippi,,,,,,,  ,  ,  ,  ,2020,,
MT,Montana,62%,38%,8%,30%,21%,17%,6%,15%,15%,2%,2020,FY,12
NC,North Carolina,50%,50%,40%,10%,23%,27%,13%,10%,0%,27%,2020,FY,6
ND,North Dakota,51%,49%,8%,41%,31%,18%,4%,27%,14%,4%,2020,CY,6
NE,Nebraska,,,,,,,  ,  ,  ,  ,2020,,
NH,New Hampshire,34%,66%,,66%,9%,57%,  ,9%,57%,  ,2020,CY,6
NJ,New Jersey,,,,,,,  ,  ,  ,  ,2020,CY,0
NM,New Mexico,,,,,,,  ,  ,  ,  ,2020,,
NV,Nevada,53%,47%,2%,45%,27%,20%,2%,25%,20%,0%,2020,CY,6
NY,New York,44%,56%,6%,50%,,56%,  ,  ,50%,6%,2020,CY,6
OH,Ohio,,,,,,,  ,  ,  ,  ,2020,,
OK,Oklahoma,82%,18%,8%,9%,17%,1%,8%,9%,  ,  ,2020,FY,6
OR,Oregon,63%,37%,14%,23%,34%,3%,13%,21%,2%,1%,2020,CY,8
PA,Pennsylvania,53%,47%,25%,22%,,47%,  ,  ,22%,25%,2020,CY,8
RI,Rhode Island,76%,24%,19%,5%,20%,4%,17%,3%,2%,2%,2020,CY,8
SC,South Carolina,81%,19%,,,10%,9%,  ,  ,  ,  ,2020,CY,6
SD,South Dakota,,,,,,,  ,  ,  ,  ,2020,CY,
TN,Tennessee,,,,,,,  ,  ,  ,  ,2020,FY,6
TX,Texas,,,,,,,  ,  ,  ,  ,2020,FY,
UT,Utah,19%,81%,19%,62%,20%,61%,10%,10%,52%,9%,2020,CY,6
VA,Virginia,,,,,,,  ,  ,  ,  ,2020,FY,
VT,Vermont,89%,11%,,,5%,6%,  ,  ,  ,  ,2020,FY,12
WA,Washington,57%,43%,,,,43%,  ,  ,20%,23%,2020,,
WI,Wisconsin,34%,66%,13%,53%,25%,41%,7%,18%,35%,6%,2020,CY,3
WV,West Virginia,56%,44%,12%,32%,13%,31%,0%,13%,19%,12%,2020,FY,10
WY,Wyoming,45%,55%,10%,45%,30%,25%,6%,24%,21%,4%,2020,FY,12
,,,,,,,,,,,,,,
,Total,64%,36%,17%,19%,17%,19%,9%,8%,12%,8%,,,
,,,,,,,,,  ,  ,  ,,,
,Count,37,37,33,34,33,36,25,26,33,32,,,
