State Abbrev,States,Total admissions,Total violation admissions,Total probation violation admissions,New offense probation violation admissions,Technical probation violation admissions,Total parole violation admissions,New offense parole violation admissions,Technical parole violation admissions,,Publicly Available Data,,
AK,Alaska,"32,627","4,502","3,819","1,789","2,030",683,265,418,,,,
AL,Alabama,"14,054","6,080","3,752","2,069","1,683","2,328",1231,1097,,,,
AR,Arkansas,"9,204","4,989",703,550,153,"4,286",2542,1744,,,,
AZ,Arizona,"18,361","8,277","4,965","1,720","3,245","3,312",152,3160,,,,
CA,California,"35,374","12,276","7,916","3,493","4,423","4,360",4335,25,,,,
CO,Colorado,"9,985","3,768",22,8,14,"3,746",1093,2653,,,,
CT,Connecticut,"21,018","1,981",767,,,"1,214",920,294,,,,
DE,Delaware,"13,358",,,,,,,,,,,
FL,Florida,"31,285","10,769","9,614","4,604","5,010","1,155",295,860,,,,
GA,Georgia,"18,275","7,033","4,635",,,"2,398","1,441",957,,X,,
HI,Hawaii,"7,829","3,199","2,896","1,788","1,108",303,166,137,,,,
IA,Iowa,"5,854","2,508","1,688",928,760,820,530,290,,,,
ID,Idaho,"6,880","4,922","3,196","2,545",651,"1,726",1500,226,,,,
IL,Illinois,"23,689","8,192",,,,"8,192",1229,6963,,,,
IN,Indiana,"11,498","5,586","3,281","1,453","1,828","2,305",384,1921,,,,
KS,Kansas,"6,542","4,434","3,106",451,"2,655","1,328",246,1082,,,,
KY,Kentucky,"20,368","11,846","5,365",,,"6,481",197,6284,,,,
LA,Louisiana,"16,005","7,953","3,178",706,"2,472","4,775",3995,780,,,,
MA,Massachusetts,"2,329",240,17,,,223,47,176,,,,
MD,Maryland,"7,761","2,169","1,117",147,970,"1,052",148,904,,,,
ME,Maine,"1,300",548,548,243,305,,,,,,,
MI,Michigan,"9,188","4,658","2,073",,,"2,585",989,1596,,,,
MN,Minnesota,"7,767","4,938","1,774",,,"3,164",393,2771,,,,
MO,Missouri,"18,032","13,987","7,582","2,647","4,935","6,405",1229,5176,,,,
MS,Mississippi,"8,650","3,859","1,883",,,"1,976",,,,X,,
MT,Montana,"1,306",500,271,103,168,229,26,203,,,,
NC,North Carolina,"25,209","14,964","8,990","6,560","2,430","5,974",5929,45,,,,
ND,North Dakota,"1,527",763,447,95,356,316,195,257,,,,
NE,Nebraska,"2,724",634,250,,,384,199,185,,,,
NH,New Hampshire,"1,428",851,145,,162,648,,689,,,,
NJ,New Jersey,"8,050","2,213",,,,"2,213",529,1684,,,,
NM,New Mexico,,,,,,,,,,,,
NV,Nevada,"6,522","2,580","1,491",64,"1,427","1,089",16,1073,,,,
NY,New York,"23,104","11,365",,,,"11,365",1381,9984,,,,
OH,Ohio,,,,,,,,,,,,
OK,Oklahoma,"10,777","2,151","2,106","1,039","1,067",45,,,,,,
OR,Oregon,"9,582","4,433","4,099","1,489","2,610",334,126,208,,,,
PA,Pennsylvania,"19,793","8,579",,,,"8,579",4189,4390,,,,
RI,Rhode Island,"3,270","1,476","1,341","1,044",297,135,54,81,,,,
SC,South Carolina,"7,250","1,356",818,,,538,,,,,,
SD,South Dakota,"4,284","3,057",707,181,526,"2,350",179,2171,,,,
TN,Tennessee,"11,369","4,398",,,,"4,398",,,,,,
TX,Texas,"65,710","28,500","21,121","10,433","10,688","7,379",5282,2097,,,,
UT,Utah,"3,726","2,931",983,551,432,"1,948",568,1380,,,,
VA,Virginia,"12,118","6,208","6,158","4,579","1,579",50,37,13,,,,
VT,Vermont,7774,763,447,,,316,,,,,,
WA,Washington,"8,100","3,363",,,,"3,363","1,946","1,417",,,,
WI,Wisconsin,"9,374","6,556","2,718","1,055","1,663","3,838",1373,2465,,,,
WV,West Virginia,"3,881","1,144",530,9,521,614,315,299,,,,
WY,Wyoming,"1,084",597,259,34,225,338,37,301,,,,
,,,,,,,,,,,,,
,Total,"605,195","248,096","126,778","75,371","56,393","121,260","56,293","68,456",,,,
,,,,,,,,,,,,,
,Count,48,47,41,30,31,46,40,41,,,,
