State Abbrev,States,Total admissions,Total violation admissions,Total probation violation admissions,New offense probation violation admissions,Technical probation violation admissions,Total parole violation admissions,New offense parole violation admissions,Technical parole violation admissions,Admissions Year,Reporting Year,Months Reported,Notes,Corrected,,
AK,Alaska,"27,590","2,779","2,374","1,131","1,243",406,184,221,2020,CY,12,,Yes,,
AL,Alabama,"10,080","4,761","3,144","1,306","1,838","1,617","1,375",242,2020,FY,12,,Yes,,
AR,Arkansas,"7,770","5,126",671,531,140,"4,455","1,255","3,200",2020,CY,12,Updating counts through December 2020 admissions.,Yes,,
AZ,Arizona,"15,480","6,226","3,676","1,595","2,081","2,550",144,"2,406",2020,FY,12,We excluded new offenses in prior data.,Yes,,
CA,California,"11,574","3,879","2,357","1,094","1,263","1,522","1,509",13,2020,CY,12,,Yes,,
CO,Colorado,"7,982","2,630",14,8,6,"2,616","1,053","1,563",2020,FY,12,"We don't ""Finalize"" Admissions and Releases for the FY until Oct 1. Every parole revocation is counted as a technical until a new mitt is entered, changing it to a parole violator/new crime, so those numbers are constantly changing.",Yes,,
CT,Connecticut,"10,699","1,011",214,,,797,605,192,2020,CY,12,,Yes,,
DE,Delaware,"9,293",,,,,,,,2020,FY,6,,,,
FL,Florida,"24,085","8,018","7,228","3,873","3,355",790,236,554,2020,FY,12,,Yes,,
GA,Georgia,,,,,,,,,2020,,,,,,
HI,Hawaii,"6,158","2,547","2,197","1,320",877,350,211,139,2020,FY,12,,,,
IA,Iowa,"5,404","2,418","1,471",761,710,947,619,328,2020,FY,12,,,,
ID,Idaho,"5,732","4,095","2,711","2,152",599,"1,384","1,212",172,2020,CY,12,,Yes,,
IL,Illinois,"11,635","4,585",,,,"4,585",439,"4,146",2020,CY,12,,Yes,,
IN,Indiana,"3,972",616,55,3,52,561,112,449,2020,CY,7,,,,
KS,Kansas,"4,473","2,831","1,869",359,"1,510",962,170,792,2020,FY,12,,,,
KY,Kentucky,"6,705","4,008","1,867",,,"2,141",132,"2,009",2020,CY,6,,,,
LA,Louisiana,"9,640","4,954","1,841",439,"1,402","3,113","2,592",521,2020,CY,12,,Yes,,
MA,Massachusetts,569,115,2,,,113,33,80,2020,CY,7,,,,
MD,Maryland,"5,057","1,347",719,97,622,628,93,535,2020,FY,12,"We are not providing an update, as our figures follow the Maryland State Fiscal year, which runs from July 1- June 30. Thus the 2020 figures provided are the full FY 2020 fiscal year figures reflecting populations through June 30, 2020.",Yes,,14
ME,Maine,635,288,288,206,82,,,,2020,CY,12,"Maine doesn't have parolees to speak of, this was phased out and there are very few parolees left.",Yes,,
MI,Michigan,"2,615","1,341",545,,,796,267,529,2020,CY,6,,,,
MN,Minnesota,"5,553","3,488","1,285",,,"2,203",293,"1,910",2020,FY,12,,,,
MO,Missouri,"12,293","10,610","5,440","2,347","3,093","5,170",673,"4,497",2020,CY,12,,Yes,,
MS,Mississippi,"6,246","3,025","1,322",295,"1,027","1,703",172,"1,531",2020,FY,12,"Re-ran queries to pull complete data. Because data is dynamic, there were minor changes in the previously reported information.",Yes,,
MT,Montana,"1,092",483,253,78,175,230,29,201,2020,FY,12,We performed a data quality review and updated information from our Justice Reinvestment Data Tracking Workbook.,Yes,,
NC,North Carolina,"16,995","10,407","5,341","3,893","1,448","5,066","5,050",16,2020,CY,12,,Yes,,
ND,North Dakota,936,389,240,27,171,149,26,90,2020,CY,12,,Yes,,
NE,Nebraska,"2,204",,,,,,,,2020,,,,,,
NH,New Hampshire,907,612,76,,76,536,,536,2020,CY,12,,Yes,,
NJ,New Jersey,"3,972",405,,,,405,11,394,2020,CY,12,"PLEASE NOTE: The data for Prison Admission for Technical Violations of Parole include: violators returned without a new sentence, those held pending hearing, and those not formally revoked.",Yes,,
NM,New Mexico,,,,,,,,,2020,,,,,,
NV,Nevada,"4,372","2,100","1,123",105,"1,018",977,12,965,2020,CY,12,The NDOC has received additional data for the last half of 2020 and have implemented new data cleansing strategies. The NDOC is working to implement these data cleansing strategies for 2018 and 2019 as well.,Yes,,
NY,New York,"4,489","2,518",,,,"2,518",265,"2,253",2020,CY,6,,,,
OH,Ohio,,,,,,,,,2020,,,,,,
OK,Oklahoma,"6,098","1,100","1,037",484,553,63,,,2020,FY,6,,,,
OR,Oregon,"6,006","2,333","2,072",764,"1,308",261,73,188,2020,CY,12,Updates are as the result of data corrections over time as well as adjustments to the data query. This data does not include any sanctions to custody; only those sentenced to custody as the result of a new commitment or revocation of supervision.,Yes,,
PA,Pennsylvania,"6,896","3,266",,,,"3,266","1,734","1,532",2020,CY,8,,,,
RI,Rhode Island,"1,826",384,317,271,46,67,18,48,2020,CY,12,"019 Parole Admissions for Technical Parole Violations Figure has been updated (this does not impact the resulting 'N' or number of admissions for any parole violation). Due to existing limitations in RIDOC's existing database, tracking specific violation types for probation and parole absconders is often difficult in our commitment files. This is why on the JRI Tracking Spreadsheet a handful of cases are coded as 'unknown' every month. Updated CY20 sentenced commitment has been provided to include the entire calendar year. I personally spot checked each missing case in our data system to give a more accurate breakdown of violation type as it pertains to probation and parole absconders.",Yes,,
SC,South Carolina,"4,156",852,410,,,442,,,2020,CY,12,Updating CY 2020 figures because the previous figures were partial year.,Yes,,
SD,South Dakota,"3,323","2,380",655,107,548,"1,725",46,"1,679",2020,CY,12,I did not make changes to prior years. Our admissions include people who we detained short term.,Yes,,
TN,Tennessee,"9,633",,,,,,,,2020,FY,6,,,,
TX,Texas,"37,286","15,667","11,915","6,581","5,334","3,752","2,864",888,2020,FY,12,,Yes,,
UT,Utah,"1,345","1,102",275,135,140,827,127,700,2020,CY,6,,,,
VA,Virginia,,,,,,,,,2020,FY,,,,,
VT,Vermont,6406,734,335,,,399,,,2020,FY,12,,,,
WA,Washington,"4,834","2,120",,,,"2,120","1,088","1,032",2020,CY,12,,Yes,,
WI,Wisconsin,"5,209","3,771","1,346",469,877,"2,425",598,"1,827",2020,CY,12,As time passes our historical data always changes a little bit. Total admissions may change due to errors that are corrected in the data system. Lags in data entry can also affect numbers after the fact. And numbers for technical violations vs. new offense violations will always change as people who were initially coded as a technical violator receiving a new sentence at a later date for the behavior that led to the violation.,Yes,,
WV,West Virginia,"3,473","1,570",484,6,478,"1,086",406,680,2020,FY,12,Updated 2020 in include entire fiscal year,Yes,,
WY,Wyoming,878,489,262,54,208,227,39,188,2020,FY,12,,Yes,,
,,,,,,,,,,,,,,,,
,Total,"343,576","133,380","67,431","35,149","32,280","65,950","26,669","39,246",,,,,,,
,,,,,,,,,,,,,,,,
,Count,46,43,38,30,31,42,38,39,,,,,,,
