State Abbrev,States,Total Non-Violation Population,Total Violation Population,Total Probation Violation Population,Total Parole Violation Population,Probation New Offense Violation Population,Probation Technical Violation Population,Parole Technical Violation Population,Parole New Offense Violation Population,Population Year
AK,Alaska,68%,32%,27%,5%,17%,10%,2%,3%,2020
AL,Alabama,100%,0.004%,0.004%,0.000%,  ,0%,  ,  ,2020
AR,Arkansas,54%,46%,16%,30%,13%,3%,7%,23%,2020
AZ,Arizona,,,,,,,,,2020
CA,California,76%,24%,7%,17%,5%,2%,0%,17%,2020
CO,Colorado,82%,18%,0.4%,18%,0%,0%,5%,13%,2020
CT,Connecticut,,,,,,,,,2020
DE,Delaware,,,,,,,,,2020
FL,Florida,84%,16%,15%,0.8%,9%,6%,0.4%,0.4%,2020
GA,Georgia,,,,,,,,,2020
HI,Hawaii,67%,33%,11%,22%,8%,3%,4%,18%,2020
IA,Iowa,68%,32%,20%,12%,11%,9%,4%,8%,2020
ID,Idaho,83%,17%,12%,5%,8%,4%,1%,4%,2020
IL,Illinois,87%,13%,,13%,  ,  ,7%,5%,2020
IN,Indiana,89%,11%,3%,8%,3%,0%,4%,4%,2020
KS,Kansas,72%,28%,21%,7%,9%,12%,  ,7%,2020
KY,Kentucky,,,,,  ,  ,  ,  ,2020
LA,Louisiana,,,,,  ,  ,  ,  ,2020
MA,Massachusetts,98%,2%,0%,2%,  ,  ,1%,1%,2020
MD,Maryland,92%,8%,4%,4%,  ,  ,  ,  ,2020
ME,Maine,,,,,  ,  ,  ,  ,2020
MI,Michigan,97%,3%,,3%,  ,  ,3%,  ,2020
MN,Minnesota,74%,26%,12%,14%,  ,12%,8%,6%,2020
MO,Missouri,53%,47%,28%,19%,17%,11%,9%,10%,2020
MS,Mississippi,,,,,  ,  ,  ,  ,2020
MT,Montana,87%,13%,8%,5%,2%,6%,4%,1%,2020
NC,North Carolina,77%,23%,13%,10%,13%,0%,0%,10%,2020
ND,North Dakota,64%,36%,26%,10%,  ,  ,  ,  ,2020
NE,Nebraska,,,,,  ,  ,  ,  ,2020
NH,New Hampshire,99%,1%,0.2%,1%,  ,0.2%,1%,  ,2020
NJ,New Jersey,,,,,  ,  ,  ,  ,2020
NM,New Mexico,,,,,  ,  ,  ,  ,2020
NV,Nevada,79%,21%,14%,7%,2%,12%,6%,1%,2020
NY,New York,81%,19%,,19%,  ,  ,6%,13%,2020
OH,Ohio,,,,,  ,  ,  ,  ,2020
OK,Oklahoma,92%,8%,8%,,3%,5%,  ,  ,2020
OR,Oregon,90%,10%,10%,0.2%,5%,5%,0.2%,0.0%,2020
PA,Pennsylvania,86%,14%,,14%,  ,  ,5%,9%,2020
RI,Rhode Island,74%,26%,21%,5%,19%,2%,2%,3%,2020
SC,South Carolina,84%,16%,9%,7%,  ,  ,  ,  ,2020
SD,South Dakota,,,,,  ,  ,  ,  ,2020
TN,Tennessee,,,,,  ,  ,  ,  ,2020
TX,Texas,,,,,  ,  ,  ,  ,2020
UT,Utah,52%,48%,21%,27%,  ,  ,  ,  ,2020
VA,Virginia,,,,,  ,  ,  ,  ,2020
VT,Vermont,76%,24%,9%,15%,  ,  ,  ,  ,2020
WA,Washington,66%,34%,,34%,  ,  ,11%,23%,2020
WI,Wisconsin,49%,51%,19%,32%,11%,8%,16%,16%,2020
WV,West Virginia,87%,13%,13%,,1%,12%,  ,  ,2020
WY,Wyoming,72%,28%,20%,8%,1%,19%,5%,3%,2020
,,,,,,,,,,
,Total,81%,19%,8%,11%,5%,3%,3%,8%,
,,,,,,,,,,
,Count,34,34,29,31,20,23,25,24,
