State Abbrev,States,Total population,Total violation population,Total probation violation population,New offense probation violation population,Technical probation violation population,Total parole violation population,New offense parole violation population,Technical parole violation population,,,,
AK,Alaska,"4,331","1,438","1,201",757,444,237,149,88,,,,
AL,Alabama,"27,360",1,1,,1,0,,0,,,,
AR,Arkansas,"15,079","6,942","2,436","2,019",417,"4,506","3,472","1,034",,,,
AZ,Arizona,,,,,,,,,,,,
CA,California,"113,229","27,110","8,258","6,002","2,256","18,852","18,768",84,,,,
CO,Colorado,"17,441","3,270",64,45,19,"3,206","2,327",879,,,,
CT,Connecticut,"9,963",,,,,,,,,,,
DE,Delaware,"3,903",,,,,,,,,,,
FL,Florida,"87,736","13,921","13,247","8,114","5,133",674,320,354,,,,
GA,Georgia,,,,,,,,,,,,
HI,Hawaii,"3,485","1,120",370,276,94,750,612,138,,,,
IA,Iowa,"7,528","2,387","1,468",797,671,919,635,284,,,,
ID,Idaho,"8,775","1,544","1,057",745,312,487,393,94,,,,
IL,Illinois,"32,167","4,131",,,,"4,131","1,730","2,401",,,,
IN,Indiana,"25,385","2,821",736,689,47,"2,085",988,"1,097",,,,
KS,Kansas,"9,189","2,639","1,959",869,"1,090",679,679,,,,,
KY,Kentucky,,,,,,,,,,,,
LA,Louisiana,,,,,,,,,,,,
MA,Massachusetts,"6,791",160,9,,,151,73,78,,,,
MD,Maryland,"18,607","1,530",820,,,710,,,,,,
ME,Maine,"1,803",,,,,,,,,,,
MI,Michigan,"35,425","1,226",,,,"1,226",,"1,226",,,,
MN,Minnesota,"8,330","2,166",973,,973,"1,193",533,660,,,,
MO,Missouri,"23,900","11,491","6,856","4,173","2,683","4,635","2,472","2,163",,,,
MS,Mississippi,,,,,,,,,,,,
MT,Montana,"2,538",329,213,59,154,116,17,99,,,,
NC,North Carolina,"31,929","7,489","4,250","4,143",107,"3,239","3,235",4,,,,
ND,North Dakota,"1,383",499,354,,,145,,,,,,
NE,Nebraska,"5,388",,,,,,,,,,,
NH,New Hampshire,2359,31,5,,5,26,,26,,,,
NJ,New Jersey,,,,,,,,,,,,
NM,New Mexico,,,,,,,,,,,,
NV,Nevada,"12,254","2,503","1,698",209,"1,489",805,89,716,,,,
NY,New York,"38,380","7,341",,,,"7,341","5,139","2,202",,,,
OH,Ohio,,,,,,,,,,,,
OK,Oklahoma,"22,628","1,993","1,993",763,"1,230",,,,,,,
OR,Oregon,"14,292","1,547","1,515",770,745,32,6,26,,,,
PA,Pennsylvania,"42,101","5,941",,,,"5,941","3,656","2,285",,,,
RI,Rhode Island,"1,621",414,341,302,39,73,43,30,,,,
SC,South Carolina,"17,318","2,655","1,480",,,"1,175",,,,,,
SD,South Dakota,,,,,,,,,,,,
TN,Tennessee,"21,382",,,,,,,,,,,
TX,Texas,,,,,,,,,,,,
UT,Utah,"5,579","2,652","1,152",,,"1,500",,,,,,
VA,Virginia,,,,,,,,,,,,
VT,Vermont,1066,250,92,,,158,,,,,,
WA,Washington,"17,330","6,054",,,,"6,054","4,064","1,990",,,,
WI,Wisconsin,"23,765","12,152","4,676","2,672","2,004","7,476","3,768","3,708",,,,
WV,West Virginia,"6,640",865,865,65,800,,,,,,,
WY,Wyoming,"2,364",681,482,24,458,199,72,127,,,,
,,,,,,,,,,,,,
,Total,"730,744","137,293","58,571","37,400","21,171","78,721","56,928","21,793",,,,
,,,,,,,,,,,,,
,Count,39,34,29,20,23,31,24,25,,,,
