State Abbrev,States,Notes,,
AK,Alaska,"Admissions and population figures include people incarcerated pretrial, as Alaska is a unified state where the state has jurisdiction over people incarcerated in both jail and prison.",,
AL,Alabama,,,
AR,Arkansas,"A temporary halting of trials beginning March 16, 2020 through June 2020 caused a decrease in new offense violations in 2020. Delays in data entry can result in people incarcerated for a parole violation to be counted as having a technical violation in queries. Recent improvements in data validation and query logic led to increased accuracy in the identification of people with technical violations of probation, which is the primary reason for the increase reported.",,
AZ,Arizona,,,
CA,California,"As a result of the Public Safety Realignment Act of 2011, people who violate the terms of parole supervision without a new felony conviction must serve any incarceration time ordered in a county jail rather than prison.",,
CO,Colorado,"Persons in state funded custody only include revocations, not violations. People incarcerated for probation violations are only included in population data if they served probation immediately following a release from Colorado Department of Corrections (i.e., post-prison probation).",,
CT,Connecticut,"Admissions include people incarcerated pretrial, as Connecticut is a unified state where the state has jurisdiction over people incarcerated in both jail and prison. The Connecticut Department of Correction probation violation counts include only people who receive a new sentence of Probation Violation. Parole violation admissions do not include all types of parole (e.g., Returns Without Prejudice, Parcom are excluded). Technical parole violation admissions do not include people who absconded. Technical parole violations may include individuals ultimately receiving a new felony conviction. ",,
DE,Delaware,"Delaware has a unified system, meaning the state has jurisdiction over people incarcerated in both jail and prison. Delaware Department of Correction did not provide violation information for admissions. In Delaware, people incarcerated are admitted using the same codes whether they are detained or sentenced on a technical violation or a violation for a new crime. The state discontinued use of parole on cases after 1991, but a small number of people are still under supervision of the Parole Board. For the purposes of this report, parole populations were not included. ",,
FL,Florida,Florida abolished parole in 1983 but maintained a form of post-prison supervision (outside of probation) on a determinate basis. Snapshot data are limited to admissions within the last 10 years. ,,
GA,Georgia,"Georgia Department of Corrections did not respond to the survey. The information presented was taken from publicly available sources. Source: Inmate Statistical Profile: Inmates Admitted During CY2018. Georgia Department of Corrections. Retrieved June 22, 2020 http://www.dcor.state.ga.us/sites/all/themes/gdc/pdf/Profile_inmate_admissions_CY2018.pdf; Inmate Statistical Profile: Inmates Admitted During CY2019. Georgia Department of Corrections. Retrieved June, 22 2020 http://www.dcor.state.ga.us/sites/all/themes/gdc/pdf/Profile_inmate_admissions_CY2019.pdf. ",,
HI,Hawaii,"Hawaii is a unified state where the state has jurisdiction over people incarcerated in both jail and prison, but admissions and population data excludes pretrial populations as well as any holds while awaiting transfer.",,
IA,Iowa,"Parole violation admissions includes people in a contracted county jail. In addition to other sanction options reported, Iowa uses stays in a corrections residential facility as a sanction for both probation and parole.",,
ID,Idaho,"Supervision violation admissions include people sentenced to term incarceration (i.e., jurisdiction is turned over to the Idaho Department of Corrections and a sentence of incarceration over one year is given) and rider incarceration (i.e., the court retains jurisdiction and a partial sentence of incarceration is given, upon completion of which the court determines whether to place the person on probation or complete the sentence of incarceration), as well as people later reinstated on parole after serving time incarcerated on a diversion sanction (i.e., admitted but not revoked). Technical probation and parole violations may include individuals ultimately receiving a new felony conviction.",,
IL,Illinois,"Probation terms are not identified in prison data, as probation is run by the Illinois Administrative Office of the Courts. In addition to other parole sanction options reported, some individuals are eligible for pre-release electronic detention or partial release work release programs. In the case of some people with a sex offense, parole admissions can include those who never exited due to violation of parole rule requiring an approvable host site. Technical parole violations may include individuals ultimately receiving a new felony conviction.",,
IN,Indiana,,,
KS,Kansas,"Probation supervision in Kansas is provided by two different agencies: Court Services and Community Corrections. The Department of Corrections has access to the data for people supervised by Community Corrections, but not the data for those supervised by Court Services; therefore, probation violation admissions are only included if supervised by Community Corrections. Technical probation and parole violations may include individuals ultimately receiving a new felony conviction.",,
KY,Kentucky,"Kentucky does not currently have the capacity to separate out technical violations of probation. In addition to other probation and parole sanctions options reported, some people may stay in reentry service centers (adult residential correctional facilities or halfway houses). A significant number of Kentucky’s state inmates are housed in county jails, but the state reimburses the county for the jail per diem.",,
LA,Louisiana,"In the snapshot data provided, total violations for new offences and technical violations includes those who have a pending felony charge who waived their rights to a revocation hearing.",,
MA,Massachusetts,"Only people who violate probation with sentences that include both a period of probation and a period of prison incarceration are included in the count of probation violation admissions. The reason for a probation violation (i.e., new offense or technical) is not identified in the data. Parole violation admissions include people detained and released without revocation. All admissions include only people who are sentenced for a criminal conviction and excludes transfers from or between other jurisdictions outside the Department of Correction. Technical parole violations may include individuals ultimately receiving a new felony conviction.",,
MD,Maryland,"For the current iteration of the survey, Maryland Department of Public Safety & Correctional Services (DPSCS) provided additional detail on violations not reported in the previous survey. DPSCS provided additional information on violations going back to July 1, 2014.",,
ME,Maine,"The state abolished parole in 1976 but maintains a very small number of people under parole supervision. For the purposes of this report, parole populations were not included. Technical probation violations may include individuals ultimately receiving a new felony conviction.",,
MI,Michigan,"There are three probation supervision delivery systems in Minnesota (largely county-operated) and mechanisms have not been created for the various systems to report reasons for revocation. The state abolished parole in 1982 but maintained a period of post-prison supervision (outside of probation) on a determinate basis. All prison sentences include a period of supervision—two-thirds of the sentence is served as incarceration, and one-third of the sentence is served on supervision—and the Minnesota Department of Corrections has the authority to make adjustments to incarceration and supervision time depending on a person’s behavior while incarcerated. Technical parole violations may include individuals ultimately receiving a new felony conviction.",,
MN,Minnesota,"There are three probation supervision delivery systems in Minnesota (largely county-operated) and mechanisms have not been created for the various systems to report reasons for revocation. The state abolished parole in 1982 but maintained a period of post-prison supervision (outside of probation) on a determinate basis. All prison sentences include a period of supervision—two-thirds of the sentence is served as incarceration, and one-third of the sentence is served on supervision—and the Minnesota Department of Corrections has the authority to make adjustments to incarceration and supervision time depending on a person’s behavior while incarcerated. Technical parole violations may include individuals ultimately receiving a new felony conviction.",,
MO,Missouri,Missouri incarcerates both probationers and parolees without a revocation of the probation or parole. These cases are reported as technical violations in this survey. Technical probation and parole violations may include individuals ultimately receiving a new felony conviction.,,
MS,Mississippi,"Mississippi did not respond to the survey. The information presented was taken from publicly available sources. Mississippi did not respond to the survey. The information presented was taken from publicly available sources. Source: Annual Report: FY2018. Mississippi Department of Corrections. Retrieved June 22, 2020.  https://www.mdoc.ms.gov/Admin-Finance/Documents/2018%20Annual%20Report.pdf; Annual Report: FY2019. Mississippi Department of Corrections. Retrieved June 22,2020. https://csgjusticecenter.org/wp-content/uploads/2020/02/Kansas-JR-Final-Report.pdf. ",,
MT,Montana,"Montana has a third commitment status of “DOC Commits” which allows the Montana Department of Corrections (DOC) to determine by placement in an Assessment Center where an individual is assessed and placed in either the community under supervision/Alt-Secure Facilities or directly to prison. Revocations to prison can come from Alt-Secure Facilities (Treatment Centers, PreRelease Centers, or Assessment & Sanction Centers) or from Probation, Parole, or Conditional Release. Conditional Release is a status that applies to DOC commitments placed in a community corrections program and released to community supervision prior to the expiration of their sentence when determined appropriate by the Department. Technical probation and parole violations may include individuals ultimately receiving a new felony conviction.",,
NC,North Carolina,"Figures used include only Conditional Release Violator (CRV) admissions, which represent a minimum estimate for technical violation admissions. CRV facility admissions only include people with technical violations, but there are likely additional technical violation admissions that do not go to CRVs. Technical probation and parole violations may include individuals ultimately receiving a new felony conviction.",,
ND,North Dakota,"Technical supervision violations resulting in placement in a contract facility are funded by the state but are not included in the counts provided. Many times, new conviction information is received by the Department of Corrections following a person’s admission for a supervision violation, but the admission type is not updated to reflect the new conviction. Technical probation and parole violations may include individuals ultimately receiving a new felony conviction.",,
