States,Average length of stay for new commits,Average length of stay for probation,Average length of stay for parol,Measure,Length of Stay Notes,Cost,Cost Raw,Marginal,Marginal Cost Raw,Cost Notes,Notes,
Alaska,,,,,,$175.84,$175.84,,,,,
Alabama,,45,45,Days,,$72.28,$72.28,,,,,
Arkansas,827.310625,328.36875,389,Days,,$64.18,,,,We don’t calculate marginal costs separately,The increase in the number of parole technical violator admissions was primarily driven by a significant increase in the number of short-term (90 day) revocations. Length of Stay was determined based on the time from jurisdictional admission at a county jail to release from an ADC facility.,
Arizona,"1,061.7",686.6,238.5,Days,,$71.49,$71.49,$4.91,$4.91,"The $71.49 number is from the Finalized 2019 per capita report.; marginal cost no longer includes health care, as that cost is no longer per inmate.
",,
California,323,265,381,Days,,$229.66,"Per Capita Costs for Institutions $83,827, Parole $12,271, Community Correctional Centers/Facilities $29,707;",,,The corrections are based on what was previously provided as we are unclear of how the $229.66 cost per day was calculated," For the average length of stay portion of the survey, this reflects total offenders who have been admitted and released between January 2018 and December 2020 from the date of arrival to date of release.",
Colorado,953,1170,511,Days,,$75.69,,,,,,
Connecticut,,,,,,$131.15,$131.15,,,,,
Delaware,,,,,,$154.40,The figure given last year was for all institutions which included Work Release and VOP centers. $154.40 is just for the four Prisons in Delaware. Number below for FY 20 is for just the four Prisons in Delaware. All facilities including Work Release and VOP for FY 20 is $180.81.,$176.39,,,,
Florida,17614.36,16074.41,22080.22,Days,,$66.48,,,,,The FY 19/20 per diem data is not available in July when this survey is usually due.; Prison admissions were reduced in 2020 due to Covid 19.,
Georgia,4.03,3.34,2,Years,,$59.64,,,,,,
Hawaii,356,54.5,354.7,Days,,$153.00,153,,,We do not calculate the marginal costs,,
Iowa,,,,,,$94.23,$94.23,$20.33,$20.33,,,
Idaho,61,24,25,Months,,$76.32,$76.32,$32.14,$32.14,,,
Illinois,26.7,,7.4,Months,,$94.14,$94.14,$24.71,$24.71,,FY 2020,
Indiana,,,,,,,,,,,,
Kansas,37.86,12.43,16.74,Months,,$10.18,Fiscal Year 2020 Cost per Day: $10.18 as shown in online FY20 Annual Report page 48,,,,This is for FY2020 as this data was not available in the summer (August 2020) of 2020.,
Kentucky,637,1026,1732,Days,,$80.24,80.24,$31.83,31.83,"By statute, a significant number of Kentucky's state inmates are housed in county jail facilities at a daily reimbursement rate of $31.34",,
Louisiana,6.2,4.9,4.89,Years,,$62.49,July 2019 - 62.49 state,,$67.44 or $50.81,"See more explanation below. The $67.44 number is as of July 2020 so I am adjusting to include the July 2019 number but again see more explanation below on if I should be reporting state only or include our state offenders housed at the local level; $67.44 for those housed in our State prisons. If we include those housed on the local level that are DOC offenders then the cost per day is $50.81 - we have approximately 13,000 housed at the local level with $48.61 as there average cost per day. If we should be including them then yes we have an adjustment to previous reported 2019 number which would be $46.41 Cost per day is based on Fiscal numbers and not calendar",,
Massachusetts,,,,,,,,,,,,
Maryland,,,,,,$123.33,"The operating cost provided above reflects the finalized operating cost reflecting SFY 2020. For clarity, this is the combined cost rate of incarceration, which includes fixed and marginal costs. This is a rate determined by the 2020 monthly rate of $3,700.",$6.36,$6.36,"The current marginal cost provided for FY 2020 is a true marginal. In Maryland, due to the nature of our healthcare contract, it is a flat rate fixed cost. However, previously, inmate health has been considered a marginal cost. The cost of housing an inmate in Maryland, excluding overhead (staff, facilities, etc) is $32.20/month. This includes medical costs, which may be more comparable to marginal costs in other states.",,
Maine,,,,,"Regarding average length of stay…we don’t track this or figure this for admissions in a year, but we do an average length of completed stay for releases during a year.  This is for all and by type of admission (probation returns by type and new charges) is not available.  Do you want what we have on all released during the year?  The number is very small compared to all new admissions sentencing. Length of completed stay for all discharges by year = All 660 days 1.81 years, Males 687 days 1.88 years, Females 415 days 1.14 years",$151.00,$151.00,,,"the cost in 2020 increased mostly due to a decrease in census, but budgeted and contracted amounts remaining the same even though we had less than expected/usual admissions.","Maine had seen a slight decrease in previous year, however with COVID, we saw fewer admissions in 2020 than would have been typical.",
Michigan,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,
Missouri,4.9,2.1,1.4,Years,,$83.15,FY2020 AVERAGE COST $83.15,$21.37,FY 2020 $21.37,,,
Mississippi,39,26.1,9.8,Months,,$39.91,$39.91,,,FY 2019 approved  value,,
Montana,361,341,276,Days,,$104.66,$104.66 on average based on Montana State Prison=$114.53; Montana Women's Prison=$116.17; Contracted Adult Secure=$83.27; These are updated numbers for FY2020. All numbers include Admin Cost Per Day.,$0.24, $0.24 on average based on Montana State Prison=$0.07; Montana Women's Prison=$0.54; Contracted Adult Secure=$0.09,,,
North Carolina,2,,,Years,,$103.32,,$127.63,127.63,,,
North Dakota,1.4,1.02,0.67,Years,,$132.61,The cost per day for 2020 is $132.61.,,,,,
Nebraska,,,,,,,,,,,,
New Hampshire,,,,,"I have attached the report we have but it would be counting just sentences and not breaking it out based on the three above.  In addition, this report includes people who we may have housed out of state.",$122.00,,$131.00,131,,,
New Jersey,,,,,,$136.86,2020 cost per day: $136.86 (without fringe benefits),,,,,
New Mexico,,,,,,,,,,,,
Nevada,33.06,15.19,57.77,Months,W/O New Conviction 9.66 Months and W/ New Conviction 57.77 Months,$66.77, $65.55 for SFY 2019 and $66.77 SFY 2020 and 2021.,$3.17,3.17,"The Legislature approves the NDOC's Budget every other year.; The per inmate driven cost is $3.17 per day and $96.28 per month.

",,
New York,,,,,,,,,,,,
Ohio,,,,,,,,,,,,
Oklahoma,1095,895,3047,Days,,$50.41,,$15.74,15.74,"Marginal Cost for FY20 is $15.74 Daily rates based on 2019 actual expenditures: medium $52.35, minimum $48.19, and community $49.41. Daily rates based on 2020 actual expenditures: medium $61.71, minimum $57.39, and community $64.42.",The daily population in Oklahoma DOC has decreased from FY19. With fewer inmates the fixed costs are higher per inmate.,
Oregon,1217,367,544,Days,,$116.89,,$116.89,$116.89; we only compute a biennial cost per day rate therefore leaving 2020 the same as 2019,,"Specific to the Length of Stay section, its easy to determine the length of stay for new commits but the length of stay for Probation and Parole Violators is less reliable. Oregon is a combined state in that we supervise probation and parole together; so if a client is revoked its hard to determine which case drove the actual revocation; so this data just looks at the highest supervision status of the body at the time of revocation and puts them in that revocation bucket. For example, if a person has both a probation case and several parole sentences running, their status in our system shows as parole as the highest case supervision status but if the probation case was actually the driver for the revocation, this person shows in the parole revocation group for the length of stay data.",
Pennsylvania,49.7,,10.7,Months,,$137.00 ,,,,,,
Rhode Island,352,381,334,Days,,$226.13,2019 Cost Per Day = $212.55; 2020 Cost Per Day = $226.13.,,,RIDOC's Financial Resources provided 2019 & 2020 cost per day figures.,,
South Carolina,,,,,,$72.75,,,,,,
South Dakota,,,,,,$62.78,,$67.64,67.64 is the current Cost Per Day,,,
Tennessee,,,,,,,,,,,,
Texas,34.1,,25.1,Months,,$64.34,$64.34,$69.27,$69.27,,,
Utah,,,8.75,Months,,$85.27,85.27,,,The way cost per day is calculated was changed during our last legislative session. Our Finance Director said that the only thing we have is our cost per day calculation.,,
Virginia,,,,,,,,,,,,
Vermont,,,,,,$220.58,,,,,,
Washington,806.8,16.6,,Days,,$130.70,FY 2019 = $115.94 for major institutions; $92.72 minimum institutions. FY 2020 = $130.70 for major institutions and $102.74 for minimum institutions,,,,,
Wisconsin,4.49,2.16,2.01,Years,,$98.93,98.93,$20.29,,"Every fiscal year this figure changes slightly.This is the annual budget per people in prison for Food, Health, and VNF (textiles, clothing, etc that increase/decreased based on population size) divided by 365: Food $1,299.31 Variable Non Food $1,054.55 Health $5,052.70 TOTAL $7,406.56 Divide by 365 $20.29",,
West Virginia,4,3,,Years,,$84.00,,,,"We do not calculate a ""marginal cost"" per person per day",,
Wyoming,26,22,12,Months,,$128.41,128.41,$128.41,Same as cost per day,,,"ALOS data include only the months from the most recent prison intake to prison exit. Months accumulated on multiple stays in prison on the same conviction (e.g., new intake, then parole release, then return from parole, then re-parole) are not included in the ALOS data contained here."
