State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
Alabama,1991,$136.0M,$1.3M,$24.2M,$0.0M,$161.5M,"$3,392.5M","$4,501.4M",$487.7M,$10.8M,"$8,392.4M",4.0%,0.0%,5.0%,0.0%,1.9%
Alabama,1992,$130.0M,$1.3M,$21.9M,$0.0M,$153.2M,"$3,415.1M","$3,114.9M","$2,951.0M",$7.0M,"$9,488.0M",3.8%,0.0%,0.7%,0.0%,1.6%
Alabama,1993,$173.9M,$4.2M,$22.9M,$0.0M,$201.0M,"$3,555.5M","$2,979.7M","$3,310.8M",$10.9M,"$9,856.9M",4.9%,0.1%,0.7%,0.0%,2.0%
Alabama,1994,$195.5M,$2.5M,$28.2M,$4.0M,$230.2M,"$3,878.6M","$3,076.0M","$3,723.6M",$13.6M,"$10,691.8M",5.0%,0.1%,0.8%,29.4%,2.2%
Alabama,1995,$196.5M,$0.8M,$43.6M,$11.5M,$252.4M,"$4,160.4M","$3,287.5M","$3,939.2M",$29.1M,"$11,416.2M",4.7%,0.0%,1.1%,39.5%,2.2%
Alabama,1996,$217.3M,$3.0M,$30.3M,$1.6M,$252.2M,"$4,242.1M","$3,381.6M","$4,013.7M",$14.4M,"$11,651.8M",5.1%,0.1%,0.8%,11.1%,2.2%
Alabama,1997,$227.9M,$2.2M,$40.9M,$1.2M,$272.2M,"$4,479.8M","$3,524.9M","$4,129.5M",$13.2M,"$12,147.4M",5.1%,0.1%,1.0%,9.1%,2.2%
Alabama,1998,$163.1M,$1.6M,$32.6M,$0.0M,$197.3M,"$4,687.6M","$4,800.8M","$3,427.3M",$97.9M,"$13,013.6M",3.5%,0.0%,1.0%,0.0%,1.5%
Alabama,1999,$248.6M,$6.7M,$48.9M,$0.0M,$304.2M,"$4,919.4M","$4,500.9M","$4,254.8M",$0.0M,"$13,675.1M",5.1%,0.1%,1.1%,,2.2%
Alabama,2000,$256.0M,$4.0M,$50.0M,$0.0M,$310.0M,"$5,220.0M","$4,279.0M","$4,739.0M",$493.0M,"$14,731.0M",4.9%,0.1%,1.1%,0.0%,2.1%
Alabama,2001,$265.6M,$4.9M,$66.3M,$0.0M,$336.8M,"$5,213.1M","$4,868.3M","$5,336.2M",$73.2M,"$15,490.8M",5.1%,0.1%,1.2%,0.0%,2.2%
Alabama,2002,$275.8M,$2.4M,$71.0M,$0.0M,$349.2M,"$5,320.2M","$5,493.6M","$4,055.5M",$443.0M,"$15,312.3M",5.2%,0.0%,1.8%,0.0%,2.3%
Alabama,2003,$308.9M,$4.8M,$65.6M,$0.0M,$379.3M,"$5,467.4M","$5,869.7M","$4,115.2M",$249.5M,"$15,701.8M",5.6%,0.1%,1.6%,0.0%,2.4%
Alabama,2004,$349.5M,$3.8M,$62.6M,$0.0M,$415.9M,"$5,512.3M","$5,954.3M","$4,179.1M",$384.0M,"$16,029.7M",6.3%,0.1%,1.5%,0.0%,2.6%
Alabama,2005,$335.0M,$5.0M,$110.0M,$1.0M,$451.0M,"$11,482.0M","$10,154.0M","$10,179.0M",$281.0M,"$32,096.0M",2.9%,0.0%,1.1%,0.4%,1.4%
Alabama,2006,$371.0M,$8.0M,$99.0M,$1.0M,$479.0M,"$12,859.0M","$10,344.0M","$10,240.0M",$232.0M,"$33,675.0M",2.9%,0.1%,1.0%,0.4%,1.4%
Alabama,2007,$453.0M,$14.0M,$80.0M,$3.0M,$550.0M,"$14,807.0M","$10,660.0M","$11,366.0M",$277.0M,"$37,110.0M",3.1%,0.1%,0.7%,1.1%,1.5%
Alabama,2008,$426.0M,$13.0M,$137.0M,$1.0M,$577.0M,"$8,460.0M","$6,291.0M","$4,537.0M",$552.0M,"$19,840.0M",5.0%,0.2%,3.0%,0.2%,2.9%
Alabama,2009,$480.0M,$18.0M,$74.0M,$1.0M,$573.0M,"$7,285.0M","$7,246.0M","$4,613.0M",$593.0M,"$19,737.0M",6.6%,0.2%,1.6%,0.2%,2.9%
Alabama,2010,$378.0M,$141.0M,$81.0M,$5.0M,$605.0M,"$6,588.0M","$8,662.0M","$4,963.0M",$391.0M,"$20,604.0M",5.7%,1.6%,1.6%,1.3%,2.9%
Alabama,2011,$394.0M,$120.0M,$85.0M,$2.0M,$601.0M,"$6,842.0M","$10,252.0M","$6,753.0M",$292.0M,"$24,139.0M",5.8%,1.2%,1.3%,0.7%,2.5%
Alabama,2012,$470.0M,$26.0M,$101.0M,$0.0M,$597.0M,"$7,380.0M","$9,439.0M","$7,455.0M",$324.0M,"$24,598.0M",6.4%,0.3%,1.4%,0.0%,2.4%
Alabama,2013,$452.0M,$20.0M,$112.0M,$0.0M,$584.0M,"$7,124.0M","$9,488.0M","$7,699.0M",$224.0M,"$24,535.0M",6.3%,0.2%,1.5%,0.0%,2.4%
Alabama,2014,$479.0M,$20.0M,$115.0M,$0.0M,$614.0M,"$7,822.0M","$9,360.0M","$7,424.0M",$386.0M,"$24,992.0M",6.1%,0.2%,1.5%,0.0%,2.5%
Alabama,2015,$481.0M,$22.0M,$102.0M,$0.0M,$605.0M,"$7,649.0M","$9,385.0M","$7,480.0M",$673.0M,"$25,187.0M",6.3%,0.2%,1.4%,0.0%,2.4%
Alabama,2016,$478.0M,$25.0M,$94.0M,$0.0M,$597.0M,"$7,921.0M","$9,738.0M","$7,875.0M",$332.0M,"$25,866.0M",6.0%,0.3%,1.2%,0.0%,2.3%
Alabama,2017,$497.0M,$26.0M,$92.0M,$0.0M,$615.0M,"$8,296.0M","$9,865.0M","$8,039.0M",$460.0M,"$26,660.0M",6.0%,0.3%,1.1%,0.0%,2.3%
