"","States","year","category","count","type"
"1","Alaska","2018","Total.population",4408,"Population"
"2","Alaska","2018","Total.violation.population",1543,"Population"
"3","Alabama","2018","Total.population",27157,"Population"
"4","Alabama","2018","Total.violation.population",306,"Population"
"5","Arkansas","2018","Total.population",15646,"Population"
"6","Arkansas","2018","Total.violation.population",8177,"Population"
"7","Arizona","2018","Total.population",41937,"Population"
"8","Arizona","2018","Total.violation.population",10080,"Population"
"9","California","2018","Total.population",129075,"Population"
"10","California","2018","Total.violation.population",31651,"Population"
"11","Colorado","2018","Total.population",20137,"Population"
"12","Colorado","2018","Total.violation.population",3946,"Population"
"13","Connecticut","2018","Total.population",13366,"Population"
"14","Connecticut","2018","Total.violation.population",NA,"Population"
"15","Delaware","2018","Total.population",5207,"Population"
"16","Delaware","2018","Total.violation.population",530,"Population"
"17","Florida","2018","Total.population",96253,"Population"
"18","Florida","2018","Total.violation.population",16558,"Population"
"19","Georgia","2018","Total.population",NA,"Population"
"20","Georgia","2018","Total.violation.population",NA,"Population"
"21","Hawaii","2018","Total.population",4396,"Population"
"22","Hawaii","2018","Total.violation.population",1232,"Population"
"23","Iowa","2018","Total.population",8363,"Population"
"24","Iowa","2018","Total.violation.population",2675,"Population"
"25","Idaho","2018","Total.population",8651,"Population"
"26","Idaho","2018","Total.violation.population",3776,"Population"
"27","Illinois","2018","Total.population",40872,"Population"
"28","Illinois","2018","Total.violation.population",6276,"Population"
"29","Indiana","2018","Total.population",NA,"Population"
"30","Indiana","2018","Total.violation.population",NA,"Population"
"31","Kansas","2018","Total.population",9973,"Population"
"32","Kansas","2018","Total.violation.population",3077,"Population"
"33","Kentucky","2018","Total.population",NA,"Population"
"34","Kentucky","2018","Total.violation.population",NA,"Population"
"35","Louisiana","2018","Total.population",32488,"Population"
"36","Louisiana","2018","Total.violation.population",9744,"Population"
"37","Massachusetts","2018","Total.population",8279,"Population"
"38","Massachusetts","2018","Total.violation.population",226,"Population"
"39","Maryland","2018","Total.population",19453,"Population"
"40","Maryland","2018","Total.violation.population",1684,"Population"
"41","Maine","2018","Total.population",2473,"Population"
"42","Maine","2018","Total.violation.population",NA,"Population"
"43","Michigan","2018","Total.population",38827,"Population"
"44","Michigan","2018","Total.violation.population",1454,"Population"
"45","Minnesota","2018","Total.population",9821,"Population"
"46","Minnesota","2018","Total.violation.population",3033,"Population"
"47","Missouri","2018","Total.population",31721,"Population"
"48","Missouri","2018","Total.violation.population",17292,"Population"
"49","Mississippi","2018","Total.population",19276,"Population"
"50","Mississippi","2018","Total.violation.population",5705,"Population"
"51","Montana","2018","Total.population",2711,"Population"
"52","Montana","2018","Total.violation.population",730,"Population"
"53","North Carolina","2018","Total.population",37104,"Population"
"54","North Carolina","2018","Total.violation.population",10517,"Population"
"55","North Dakota","2018","Total.population",1695,"Population"
"56","North Dakota","2018","Total.violation.population",593,"Population"
"57","Nebraska","2018","Total.population",5302,"Population"
"58","Nebraska","2018","Total.violation.population",591,"Population"
"59","New Hampshire","2018","Total.population",2578,"Population"
"60","New Hampshire","2018","Total.violation.population",75,"Population"
"61","New Jersey","2018","Total.population",NA,"Population"
"62","New Jersey","2018","Total.violation.population",NA,"Population"
"63","New Mexico","2018","Total.population",NA,"Population"
"64","New Mexico","2018","Total.violation.population",NA,"Population"
"65","Nevada","2018","Total.population",13740,"Population"
"66","Nevada","2018","Total.violation.population",2996,"Population"
"67","New York","2018","Total.population",49312,"Population"
"68","New York","2018","Total.violation.population",11034,"Population"
"69","Ohio","2018","Total.population",NA,"Population"
"70","Ohio","2018","Total.violation.population",NA,"Population"
"71","Oklahoma","2018","Total.population",27180,"Population"
"72","Oklahoma","2018","Total.violation.population",2856,"Population"
"73","Oregon","2018","Total.population",15478,"Population"
"74","Oregon","2018","Total.violation.population",1692,"Population"
"75","Pennsylvania","2018","Total.population",48353,"Population"
"76","Pennsylvania","2018","Total.violation.population",7525,"Population"
"77","Rhode Island","2018","Total.population",2108,"Population"
"78","Rhode Island","2018","Total.violation.population",653,"Population"
"79","South Carolina","2018","Total.population",18958,"Population"
"80","South Carolina","2018","Total.violation.population",3129,"Population"
"81","South Dakota","2018","Total.population",4026,"Population"
"82","South Dakota","2018","Total.violation.population",1871,"Population"
"83","Tennessee","2018","Total.population",22339,"Population"
"84","Tennessee","2018","Total.violation.population",4835,"Population"
"85","Texas","2018","Total.population",145019,"Population"
"86","Texas","2018","Total.violation.population",34296,"Population"
"87","Utah","2018","Total.population",6695,"Population"
"88","Utah","2018","Total.violation.population",3331,"Population"
"89","Virginia","2018","Total.population",29907,"Population"
"90","Virginia","2018","Total.violation.population",11239,"Population"
"91","Vermont","2018","Total.population",1296,"Population"
"92","Vermont","2018","Total.violation.population",119,"Population"
"93","Washington","2018","Total.population",19636,"Population"
"94","Washington","2018","Total.violation.population",7293,"Population"
"95","Wisconsin","2018","Total.population",23865,"Population"
"96","Wisconsin","2018","Total.violation.population",12374,"Population"
"97","West Virginia","2018","Total.population",6776,"Population"
"98","West Virginia","2018","Total.violation.population",796,"Population"
"99","Wyoming","2018","Total.population",2454,"Population"
"100","Wyoming","2018","Total.violation.population",738,"Population"
"101","Alaska","2019","Total.population",4599,"Population"
"102","Alaska","2019","Total.violation.population",1646,"Population"
"103","Alabama","2019","Total.population",27922,"Population"
"104","Alabama","2019","Total.violation.population",278,"Population"
"105","Arkansas","2019","Total.population",15680,"Population"
"106","Arkansas","2019","Total.violation.population",7413,"Population"
"107","Arizona","2019","Total.population",41937,"Population"
"108","Arizona","2019","Total.violation.population",10080,"Population"
"109","California","2019","Total.population",125195,"Population"
"110","California","2019","Total.violation.population",30983,"Population"
"111","Colorado","2019","Total.population",19951,"Population"
"112","Colorado","2019","Total.violation.population",4101,"Population"
"113","Connecticut","2019","Total.population",13100,"Population"
"114","Connecticut","2019","Total.violation.population",NA,"Population"
"115","Delaware","2019","Total.population",4436,"Population"
"116","Delaware","2019","Total.violation.population",438,"Population"
"117","Florida","2019","Total.population",95626,"Population"
"118","Florida","2019","Total.violation.population",13907,"Population"
"119","Georgia","2019","Total.population",NA,"Population"
"120","Georgia","2019","Total.violation.population",NA,"Population"
"121","Hawaii","2019","Total.population",4337,"Population"
"122","Hawaii","2019","Total.violation.population",1417,"Population"
"123","Iowa","2019","Total.population",8431,"Population"
"124","Iowa","2019","Total.violation.population",2682,"Population"
"125","Idaho","2019","Total.population",9038,"Population"
"126","Idaho","2019","Total.violation.population",3903,"Population"
"127","Illinois","2019","Total.population",39306,"Population"
"128","Illinois","2019","Total.violation.population",5708,"Population"
"129","Indiana","2019","Total.population",NA,"Population"
"130","Indiana","2019","Total.violation.population",NA,"Population"
"131","Kansas","2019","Total.population",10044,"Population"
"132","Kansas","2019","Total.violation.population",3085,"Population"
"133","Kentucky","2019","Total.population",NA,"Population"
"134","Kentucky","2019","Total.violation.population",NA,"Population"
"135","Louisiana","2019","Total.population",31519,"Population"
"136","Louisiana","2019","Total.violation.population",9426,"Population"
"137","Massachusetts","2019","Total.population",7978,"Population"
"138","Massachusetts","2019","Total.violation.population",222,"Population"
"139","Maryland","2019","Total.population",19014,"Population"
"140","Maryland","2019","Total.violation.population",1563,"Population"
"141","Maine","2019","Total.population",2265,"Population"
"142","Maine","2019","Total.violation.population",NA,"Population"
"143","Michigan","2019","Total.population",38370,"Population"
