States,Violation Adm Change from 2018 to 2019 (Pre-covid),Violation Adm Change from 2019 to 2020,Violation Pop Change from 2018 to 2019 (Pre-covid),Violation Pop Change from 2019 to 2020
Oklahoma,-35.7,-20.5,-16.8,-16.1
Rhode Island,-20.6,-67.2,-4.6,-43.8
Missouri,-17.7,-7.8,-17,-17
Maine,-17.5,-36.3,NA,NA
Alaska,-13.6,-28.6,6.7,-6.9
Hawaii,-12.2,-9.4,15,-17.9
Georgia,-10.7,-34.9,NA,NA
Texas,-10.1,-38.8,-4.3,-21.3
Oregon,-9.7,-42.2,-4,-14.5
Minnesota,-9.5,-22,-4,-25.6
South Carolina,-9,-31,-2.5,-20.8
Maryland,-9,-31.7,-7.2,-2.1
Colorado,-8.7,-23.6,3.9,-20.3
North Dakota,-7.9,-44.7,0.7,-33.5
Vermont,-7.9,4.4,75.6,19.6
Michigan,-6.7,-38.7,-4.6,-19.5
Arizona,-6.3,-19.7,-0.1,-12.3
Washington,-5.6,-33.2,2.9,-28.7
New Jersey,-5.3,-37.4,NA,NA
North Carolina,-4.3,3.7,-4,-30.9
Connecticut,-4.3,-46.6,NA,NA
Pennsylvania,-3.9,-38.5,-4,-20.6
Wisconsin,-3.4,-40.4,-1.7,-18.3
Mississippi,-3.3,-19.1,1.4,-11.4
New York,-2.9,NA,-4.4,NA
Illinois,-2.8,-42.4,-9.1,-29.3
Kansas,-2.7,-34.4,0.3,-16
Nevada,-2.5,-16.5,-10.5,-12.9
Kentucky,-1.5,-33.9,NA,NA
California,-1.2,-68,-2.1,-30.4
Indiana,-1.1,NA,NA,NA
Arkansas,-0.2,2.9,-9.3,-15.8
Ohio,0.3,-24.8,2.2,-17.5
Tennessee,0.7,NA,NA,NA
New Hampshire,0.8,-28.7,-4,-40.3
Iowa,1.7,-32.9,0.3,-14
Louisiana,2.4,-39.2,-3.3,-17.7
Alabama,4.6,-25.1,-9.2,NA
Florida,4.7,-28.9,-16,-18.9
Wyoming,5.2,-22.1,4.9,-12
Nebraska,5.8,NA,21.3,NA
Idaho,7,-22.3,3.4,0.5
South Dakota,9.4,-28.8,-1.2,-23.7
Utah,9.8,-24.5,2.6,-22.1
West Virginia,10,24.8,13.6,-25.2
Massachusetts,11.4,-22.3,0,-23.9
Montana,23.3,-20,8.8,-11.1
Delaware,NA,NA,-17.4,-20.5
New Mexico,NA,NA,NA,NA
Virginia,NA,NA,9.2,NA
