"","States","violation_admissions_18","violation_admissions_19","violation_admissions_20","adm_pct_18_19","adm_pct_19_20","violation_population_18","violation_population_19","violation_population_20","pop_pct_18_19","pop_pct_19_20"
"1","Alabama",6080,6360,4761,0.05,-0.25,306,278,NA,-0.0915032679738562,NA
"2","Alaska",4502,3891,2779,-0.14,-0.29,1543,1646,1533,0.0667530784186649,-0.0686512758201701
"3","Arizona",8277,7752,6226,-0.06,-0.2,10080,10080,8838,0,-0.123214285714286
"4","Arkansas",4989,4980,5126,0,0.03,8177,7413,6242,-0.0934327993151523,-0.157965735869419
"5","California",12280,12133,3879,-0.01,-0.68,31651,30983,21570,-0.0211051783513949,-0.303811767743601
"6","Colorado",3768,3441,2630,-0.09,-0.24,3946,4101,3270,0.0392802838317283,-0.202633504023409
"7","Connecticut",1981,1895,1011,-0.04,-0.47,NA,NA,NA,NA,NA
"8","Delaware",NA,NA,NA,NA,NA,530,438,348,-0.173584905660377,-0.205479452054795
"9","Florida",10773,11278,8018,0.05,-0.29,16558,13907,11274,-0.160103877279865,-0.189329114834256
"10","Georgia",7033,6278,4087,-0.11,-0.35,NA,NA,9295,NA,NA
"11","Hawaii",3199,2810,2547,-0.12,-0.09,1232,1417,1163,0.150162337662338,-0.179251940719831
"12","Idaho",4922,5267,4095,0.07,-0.22,3776,3903,3924,0.0336334745762712,0.005380476556495
"13","Illinois",8192,7963,4585,-0.03,-0.42,6276,5708,4033,-0.0905035054174634,-0.293447792571829
"14","Indiana",5586,5526,NA,-0.01,NA,NA,NA,NA,NA,NA
"15","Iowa",3083,3135,2105,0.02,-0.33,2675,2682,2307,0.00261682242990654,-0.139821029082774
"16","Kansas",4434,4314,2831,-0.03,-0.34,3077,3085,2590,0.00259993500162496,-0.160453808752026
"17","Kentucky",11846,11665,7712,-0.02,-0.34,NA,NA,NA,NA,NA
"18","Louisiana",7953,8146,4954,0.02,-0.39,9744,9426,7754,-0.0326354679802956,-0.177381710163378
"19","Maine",548,452,288,-0.18,-0.36,NA,NA,NA,NA,NA
"20","Maryland",2169,1973,1347,-0.09,-0.32,1684,1563,1530,-0.0718527315914489,-0.0211132437619962
"21","Massachusetts",237,264,205,0.11,-0.22,209,209,159,0,-0.239234449760766
"22","Michigan",4658,4344,2663,-0.07,-0.39,1246,1189,957,-0.0457463884430177,-0.195121951219512
"23","Minnesota",4938,4470,3488,-0.09,-0.22,3033,2911,2166,-0.0402242004615892,-0.255925798694607
"24","Mississippi",3869,3740,3025,-0.03,-0.19,5705,5786,5127,0.0141980718667835,-0.113895610093329
"25","Missouri",13987,11507,10610,-0.18,-0.08,17292,14344,11904,-0.170483460559796,-0.17010596765198
"26","Montana",490,604,483,0.23,-0.2,730,794,706,0.0876712328767123,-0.110831234256927
"27","Nebraska",634,671,NA,0.06,NA,591,717,NA,0.213197969543147,NA
"28","Nevada",2580,2515,2100,-0.03,-0.17,2996,2680,2333,-0.105473965287049,-0.129477611940298
"29","New Hampshire",851,858,612,0.01,-0.29,75,72,43,-0.04,-0.402777777777778
"30","New Jersey",683,647,405,-0.05,-0.37,NA,NA,NA,NA,NA
"31","New Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","New York",11365,11038,NA,-0.03,NA,11034,10548,NA,-0.0440456769983687,NA
"33","North Carolina",14964,14314,14839,-0.04,0.04,10517,10094,6974,-0.0402205952267757,-0.309094511591044
"34","North Dakota",763,703,389,-0.08,-0.45,593,597,397,0.00674536256323777,-0.33500837520938
"35","Ohio",6335,6357,4779,0,-0.25,4342,4438,3662,0.0221096269000461,-0.174853537629563
"36","Oklahoma",2151,1383,1100,-0.36,-0.2,2856,2376,1993,-0.168067226890756,-0.161195286195286
"37","Oregon",4466,4033,2333,-0.1,-0.42,1692,1624,1389,-0.0401891252955083,-0.144704433497537
"38","Pennsylvania",8579,8245,5070,-0.04,-0.39,7525,7226,5739,-0.039734219269103,-0.205784666482148
"39","Rhode Island",1476,1172,384,-0.21,-0.67,653,623,350,-0.0459418070444104,-0.438202247191011
"40","South Carolina",1356,1234,852,-0.09,-0.31,3129,3051,2417,-0.024928092042186,-0.207800721075057
"41","South Dakota",3057,3343,2380,0.09,-0.29,1871,1849,1410,-0.0117584179583111,-0.237425635478637
"42","Tennessee",4398,4430,NA,0.01,NA,4835,NA,NA,NA,NA
"43","Texas",28500,25618,15667,-0.1,-0.39,34296,32818,25822,-0.0430954047119198,-0.213175696264245
"44","Utah",2999,3294,2486,0.1,-0.25,3331,3417,2661,0.0258180726508556,-0.221246707638279
"45","Vermont",763,703,734,-0.08,0.04,119,209,250,0.756302521008403,0.196172248803828
"46","Virginia",6209,NA,NA,NA,NA,14526,15856,NA,0.0915599614484373,NA
"47","Washington",3363,3174,2120,-0.06,-0.33,7293,7505,5351,0.0290689702454408,-0.287008660892738
"48","West Virginia",1144,1258,1570,0.1,0.25,796,904,676,0.135678391959799,-0.252212389380531
"49","Wisconsin",6556,6331,3771,-0.03,-0.4,12374,12163,9933,-0.0170518829804429,-0.183342925265148
"50","Wyoming",597,628,489,0.05,-0.22,738,774,681,0.0487804878048781,-0.12015503875969
