"","States","year","Total.admissions","Total.violation.admissions","Technical.violations.admissions","Total.admissions.pct","Total.violation.admissions.pct","Technical.violations.admissions.pct","Total.population","Total.violation.population","Technical.violations.population","Total.population.pct","Total.violation.population.pct","Technical.violations.population.pct"
"1","Alabama","2018",14054,6080,2780,NA,NA,NA,27157,306,306,NA,NA,NA
"2","Alabama","2019",14148,6360,2722,0.668848726341253,4.60526315789473,-2.0863309352518,27922,278,278,2.81695327171632,-9.15032679738562,-9.15032679738562
"3","Alabama","2020",10080,4761,2080,-28.7531806615776,-25.1415094339623,-23.5855988243938,25344,1,6,-9.23286297543155,-99.6402877697842,-97.841726618705
"4","Alaska","2018",32627,4502,2448,NA,NA,NA,4408,1543,695,NA,NA,NA
"5","Alaska","2019",34734,3891,2050,6.45784166487877,-13.5717458907152,-16.2581699346405,4599,1646,610,4.33303085299455,6.6753078418665,-12.2302158273381
"6","Alaska","2020",27590,2779,1464,-20.5677434214315,-28.5787715240298,-28.5853658536585,4618,1533,567,0.413133289845624,-6.86512758201701,-7.04918032786885
"7","Arizona","2018",18361,8277,6405,NA,NA,NA,41937,10080,4179,NA,NA,NA
"8","Arizona","2019",18159,7752,5857,-1.10015794346713,-6.34287785429504,-8.55581576893052,41937,10080,4179,0,0,0
"9","Arizona","2020",15480,6226,4487,-14.7530150338675,-19.6852425180599,-23.3908144101076,37731,8838,2478,-10.029329708849,-12.3214285714286,-40.7035175879397
"10","Arkansas","2018",9204,4989,1897,NA,NA,NA,15646,8177,2011,NA,NA,NA
"11","Arkansas","2019",9289,4980,2113,0.923511516731845,-0.180396873120869,11.3863995782815,15680,7413,1310,0.21730793813115,-9.34327993151522,-34.8582794629538
"12","Arkansas","2020",7770,5126,3340,-16.3526752072344,2.93172690763053,58.0690960719356,13840,6242,1277,-11.734693877551,-15.7965735869419,-2.51908396946565
"13","California","2018",35375,12280,4450,NA,NA,NA,129075,31651,3472,NA,NA,NA
"14","California","2019",34508,12133,4461,-2.45088339222614,-1.1970684039088,0.247191011235959,125195,30983,3436,-3.00600426108851,-2.11051783513949,-1.03686635944701
"15","California","2020",11574,3879,1276,-66.459951315637,-68.0293414654249,-71.3965478592244,95318,21570,1124,-23.8643715803347,-30.3811767743601,-67.2875436554133
"16","Colorado","2018",9985,3768,2667,NA,NA,NA,20137,3946,1238,NA,NA,NA
"17","Colorado","2019",9691,3441,2220,-2.94441662493741,-8.67834394904459,-16.7604049493813,19951,4101,1348,-0.923672841038881,3.92802838317283,8.88529886914378
"18","Colorado","2020",7982,2630,1569,-17.6349189970075,-23.5687300203429,-29.3243243243243,17441,3270,898,-12.5808230163902,-20.2633504023409,-33.3827893175074
"19","Connecticut","2018",21018,1981,NA,NA,NA,NA,13366,NA,NA,NA,NA,NA
"20","Connecticut","2019",19535,1895,NA,-7.05585688457513,-4.34124179707218,NA,13100,NA,NA,-1.99012419572049,NA,NA
"21","Connecticut","2020",10699,1011,NA,-45.231635525979,-46.6490765171504,NA,9111,NA,NA,-30.4503816793893,NA,NA
"22","Delaware","2018",13358,NA,NA,NA,NA,NA,5207,530,NA,NA,NA,NA
