"","States","cost_2019","cost_2020","pop_sup_cost_2019","pop_sup_cost_2020","pop_tech_cost_2019","pop_tech_cost_2020","year.x","total_population_2019","technical_population_2019","year.y","total_population_2020","technical_population_2020"
"1","Alabama",64.01,72.28,6495094.7,26382.2,6495094.7,158293.2,"2019",278,278,"2020",1,6
"2","Alaska",170,175.84,102134300,98390392.8,37850500,36390967.2,"2019",1646,610,"2020",1533,567
"3","Arizona",66.67,71.49,245292264,230617446.3,101694084.45,64660560.3,"2019",10080,4179,"2020",8838,2478
"4","Arkansas",63.18,64.18,170948969.1,146223219.4,30209517,29914618.9,"2019",7413,1310,"2020",6242,1277
"5","California",229.66301369863,229.66,2597211941,1808124663,288029572,94220311.6,"2019",30983,3436,"2020",21570,1124
"6","Colorado",75.69,75.69,113297711.85,90339799.5,37240993.8,24808911.3,"2019",4101,1348,"2020",3270,898
"7","Connecticut",108.64,131.15,225556446.926829,216619959.189024,91765406.4962963,82407049.3257576,"2019",5688.17073170732,2314.17592592593,"2020",4525.19512195122,1721.48484848485
"8","Delaware",156.44,154.4,25010062.8,19611888,132140833.875926,97016000.1212121,"2019",438,2314.17592592593,"2020",348,1721.48484848485
"9","Florida",62.16,66.48,315527578.8,273565864.8,124377808.8,102374878.8,"2019",13907,5482,"2020",11274,4219
"10","Georgia",59.64,59.64,123823513.390244,202339137,50376370.0611111,52897698,"2019",5688.17073170732,2314.17592592593,"2020",9295,2430
"11","Hawaii",136,153,70339880,64947735,13750280,32222565,"2019",1417,277,"2020",1163,577
"12","Idaho",79,76.32,112543005,109310083.2,28604320,20056896,"2019",3903,992,"2020",3924,720
"13","Illinois",82.24,94.14,171340460.8,138578316.3,148434808.474074,115453296,"2019",5708,4944.92592592593,"2020",4033,3360
"14","Indiana",55.03,55.03,114252312.908537,56662464.95,46482421.9393519,22978326.8,"2019",5688.17073170732,2314.17592592593,"2020",2821,1144
"15","Iowa",90.11,94.23,88211382.3,79346842.65,39205058.8,27274402.35,"2019",2682,1192,"2020",2307,793
"16","Kansas",47.75,10.18,53767693.75,9623663,42635079.6875,4592605.2,"2019",3085,2446.25,"2020",2590,1236
"17","Kentucky",75.91,80.24,157602999.689024,132532104.653659,64119219.5060185,50418159.6484848,"2019",5688.17073170732,2314.17592592593,"2020",4525.19512195122,1721.48484848485
"18","Louisiana",67.44,62.49,232026645.6,176859822.9,79360694.4,59896040.1,"2019",9426,3224,"2020",7754,2626
"19","Maine",123,151,255370425,249406129.146341,103894928.194444,94879637.4242424,"2019",5688.17073170732,2314.17592592593,"2020",4525.19512195122,1721.48484848485
"20","Maryland",113.58,123.33,64796822.1,68873638.5,95938097.1083333,77493415.1227273,"2019",1563,2314.17592592593,"2020",1530,1721.48484848485
"21","Massachusetts",220,220,17826600,12848000,113136751.851852,75562300,"2019",222,1408.92592592593,"2020",160,941
"22","Michigan",107.92,107.92,60937567.6,48293120.8,111276092.162963,82287381.2,"2019",1547,2824.92592592593,"2020",1226,2089
"23","Minnesota",90,90,95626350,71153100,75817800,53644050,"2019",2911,2308,"2020",2166,1633
"24","Mississippi",44.8,39.91,94612672,74685778.05,54517568,44823120.55,"2019",5786,3334,"2020",5127,3077
"25","Missouri",71,83.15,371724760,361283424,148570695,150443710.75,"2019",14344,5733,"2020",11904,4957
"26","Montana",97.43,104.66,28236188.3,26969835.4,20661492.95,19482459,"2019",794,581,"2020",706,510
"27","Nebraska",80,80,20936400,132135697.560976,40556637.037037,50267357.5757576,"2019",717,1388.92592592593,"2020",4525.19512195122,1721.48484848485
"28","Nevada",66.77,66.77,65314414,56857659.65,58466148.95,49229521,"2019",2680,2399,"2020",2333,2020
"29","New Hampshire",122,122,3206160,1914790,3206160,1914790,"2019",72,72,"2020",43,43
"30","New Jersey",222.365,136.86,461670280.935976,226051144.602439,187825981.365509,85994881.9727273,"2019",5688.17073170732,2314.17592592593,"2020",4525.19512195122,1721.48484848485
"31","New Mexico",124,124,257446607.317073,204810331.219512,104739602.407407,77914404.2424242,"2019",5688.17073170732,2314.17592592593,"2020",4525.19512195122,1721.48484848485
"32","New York",231.98,231.98,893127639.6,621582290.7,514041689.648148,259521825.5,"2019",10548,6070.92592592593,"2020",7341,3065
"33","North Carolina",103.32,103.32,380662909.2,263002093.2,17121157.2,7655495.4,"2019",10094,454,"2020",6974,203
"34","North Dakota",123.22,132.61,26850254.1,19215852.05,104080756.521296,83324428.6015152,"2019",597,2314.17592592593,"2020",397,1721.48484848485
"35","Ohio",72.23,72.23,149962648.762195,119302017.935366,61010818.4023148,45385140.4712121,"2019",5688.17073170732,2314.17592592593,"2020",4525.19512195122,1721.48484848485
"36","Oklahoma",50.41,50.41,43717568.4,36670502.45,47218101.8125,36789821.3924242,"2019",2376,2566.25,"2020",1993,1999.48484848485
"37","Oregon",116.89,116.89,69287716.4,59261476.65,38483694.7,26281547.6,"2019",1624,902,"2020",1389,616
"38","Pennsylvania",137,137,361336130,286978695,182514545.925926,156715670,"2019",7226,3649.92592592593,"2020",5739,3134
"39","Rhode Island",212.75,226.13,48378286.25,28888107.5,8153643.75,4539559.75,"2019",623,105,"2020",350,55
"40","South Carolina",72.75,72.75,81015491.25,64180413.75,61450048.9930556,45711878.2954545,"2019",3051,2314.17592592593,"2020",2417,1721.48484848485
"41","South Dakota",62.78,62.78,42369280.3,32309727,30705698,24977023,"2019",1849,1340,"2020",1410,1090
"42","Tennessee",79.06,79.06,164142973.987805,130583103.114634,66779943.2768519,49676716.1242424,"2019",5688.17073170732,2314.17592592593,"2020",4525.19512195122,1721.48484848485
"43","Texas",62.34,64.34,746744053.8,606406430.2,77498779.1111111,57700433.7,"2019",32818,3405.92592592593,"2020",25822,2457
"44","Utah",100.07,85.27,97194488.55,82539654.6,84526548.4912037,53578719.7560606,"2019",2661,2314.17592592593,"2020",2652,1721.48484848485
"45","Vermont",220.58,220.58,16826945.3,20127925,186318237.89537,138599671.675758,"2019",209,2314.17592592593,"2020",250,1721.48484848485
"46","Virginia",88,88,401178800,145349267.317073,42109320,55294093.3333333,"2019",12490,1311,"2020",4525.19512195122,1721.48484848485
"47","Washington",92.72,130.7,253990214,255272130.5,126637250.725926,120265565.5,"2019",7505,3741.92592592593,"2020",5351,2521
"48","West Virginia",84,84,27716640,20726160,57679125,44594505.4545455,"2019",904,1881.25,"2020",676,1454.48484848485
"49","Wisconsin",103,98.93,457267985,358675166.85,192674375,156967779.15,"2019",12163,5125,"2020",9933,4347
"50","Wyoming",128.41,128.41,36277109.1,31918231.65,31590144.1,27418745.25,"2019",774,674,"2020",681,585
