"","state","ucr_pop","census_pop_2019","ucr_proportion","cc_population_change","cc_admissions_change","year","state_violent_crime","state_murder","state_rape","state_roberry","state_aggravated_assault","state_property_crime","state_burglary","state_larceny_theft","state_motor_theft","state_arson","state_violent_crime_change","state_murder_change","state_rape_change","state_roberry_change","state_aggravated_assault_change","state_property_crime_change","state_burglary_change","state_larceny_theft_change","state_motor_theft_change","state_arson_change"
"1","Alabama",NA,NA,NA,-9.23286297543155,-28.7531806615776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alaska",NA,NA,NA,0.413133289845624,-20.5677434214315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Arizona",3801536,7278717,0.522281055850914,-10.029329708849,-14.7530150338675,"2020",19780,266,1915,4456,13143,92005,13383,67477,11145,NA,15.672514619883,46.9613259668508,-5.52540700542674,1.99130235751888,24.8978428204885,-7.31375610738931,-13.3449883449883,-8.07073473113445,6.95777351247602,NA
"4","Arkansas",NA,NA,NA,-11.734693877551,-16.3526752072344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","California",19610077,39512223,0.496304067731142,-23.8643715803347,-66.459951315637,"2020",99851,1282,7691,28745,62133,463319,76035,289291,97993,7179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Colorado",1853811,5758736,0.321912829482025,-12.5808230163902,-17.6349189970075,"2020",10351,131,1385,1971,6864,63314,8966,42219,12129,551,10.4342259682066,65.8227848101266,-14.5589142504627,8.77483443708609,17.1131206278792,4.77419781892801,14.2020124824863,-2.22330299451122,29.045643153527,46.1538461538461
"7","Connecticut",382038,3565287,0.107154907865762,-30.4503816793893,-45.231635525979,"2020",1500,39,116,558,787,6919,1196,4301,1422,28,4.45682451253482,44.4444444444444,-26.1146496815287,-7.30897009966778,21.0769230769231,-8.52723426758329,-0.746887966804977,-14.6118721461187,7.56429652042361,3.7037037037037
"8","Delaware",NA,NA,NA,-12.2182146077547,-14.136351853452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Florida",NA,NA,NA,-16.8364252399975,-23.9477091161704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Georgia",NA,NA,NA,NA,-45.7478778931829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hawaii",NA,NA,NA,-23.1265851971409,-25.5380894800484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Idaho",119203,1787065,0.0667032256800956,-11.2082319097145,-21.7260685511402,"2020",176,1,45,5,125,954,145,757,52,4,-1.67597765363129,-75,-8.16326530612245,-28.5714285714286,5.04201680672269,-19.493670886076,-19.8895027624309,-21.3914849428868,26.8292682926829,-66.6666666666667
"13","Illinois",491641,12671821,0.0387979754448867,-25.6500279855493,-47.9720967669812,"2020",2858,42,183,345,2288,NA,1109,NA,646,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Indiana",1485908,6732219,0.220715933334908,NA,NA,"2020",11615,293,834,2764,7724,46436,7101,32293,7042,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Iowa",451426,3155070,0.143079551325327,-10.7104732534693,-37.4741530141562,"2020",2693,54,199,483,1957,16643,3668,10527,2448,120,4.29899302865995,134.782608695652,-15.6779661016949,-3.20641282565131,7.29166666666667,-5.78545145768469,-6.66666666666667,-9.52299097550494,16.5714285714286,39.5348837209302
"16","Kansas",340264,2913314,0.116796198418708,-11.6985264834727,-29.9780839073262,"2020",756,6,82,63,605,5829,535,4519,775,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Kentucky",NA,NA,NA,NA,-36.1803686589143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Louisiana",NA,NA,NA,-14.3056569053587,-40.5891778626895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Maine",NA,NA,NA,-24.2825607064018,-42.3774954627949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Maryland",NA,NA,NA,-2.14052803197644,-31.5882034632035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Michigan",1468984,9986857,0.14709172265108,NA,NA,"2020",18766,363,1052,2369,14982,33959,6451,20060,7448,991,9.93555946104276,16.7202572347267,-29.2059219380888,-19.9121027721433,21.6565164433618,-20.9318028359217,-30.0931946250542,-20.4252449521996,-12.5,11.9774011299435
"22","Minnesota",865311,5639632,0.153433947463239,NA,NA,"2020",7634,113,660,2549,4312,33823,6387,20498,6938,357,26.9160432252701,48.6842105263158,-14.7286821705426,36.6023579849946,30.7062746286753,2.67439742577864,11.5048882681564,-5.81694541444587,27.302752293578,82.1428571428571
"23","Mississippi",NA,NA,NA,-9.47184186142284,-22.1973094170404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Missouri",640167,6137428,0.104305419143003,-18.1443884432455,-18.1830282861897,"2020",7470,288,480,1449,5253,27976,3692,19425,4859,267,6.50128314798974,34.5794392523364,-4,-13.903743315508,13.7751786874594,-4.98896247240618,-14.5568155519556,-5.79077549832678,7.85793562708101,30.8823529411765
"25","Montana",NA,NA,NA,-13.757183908046,-24.1139680333565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Nebraska",480297,1934408,0.248291466950095,NA,NA,"2020",3032,37,351,464,2180,15247,1521,10697,3029,NA,5.16822754075617,60.8695652173913,-7.38786279683378,-10.597302504817,11.1111111111111,-11.0650956602893,-9.67933491686461,-13.0819858617047,-3.93276244846178,NA
"27","Nevada",365832,3080156,0.118770607722466,-11.6081101996595,-26.7794339306649,"2020",1856,21,361,341,1133,7451,1491,4666,1294,32,-1.3290802764487,61.5384615384615,41.015625,-12.1134020618557,-7.43464052287581,-9.05651165629195,5.22230063514466,-10.5444785276074,-17.051282051282,68.4210526315789
"28","New Hampshire",NA,NA,NA,-14.3141153081511,-31.2357846853677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","New Jersey",864433,8882190,0.0973220568350823,NA,-46.8201901191592,"2020",4052,97,239,1156,2560,12865,1785,8170,2910,67,-4.2080378250591,11.4942528735632,-7.00389105058365,-26.4631043256997,10.6309420916163,-16.4447619666169,-26.8742318721835,-18.1034482758621,-2.34899328859061,26.4150943396226
"30","New Mexico",562065,2096829,0.268054762691664,NA,NA,"2020",7528,70,437,1439,5582,28110,5066,18084,4960,166,-1.65904637491835,-13.5802469135803,-12.4248496993988,-16.5797101449275,4.33644859813085,NA,NA,-12.7556927827094,-9.10756826094924,66
"31","North Carolina",2351542,10488084,0.224210828212284,-30.310519276618,-29.8365122615804,"2020",15891,235,712,3351,11593,66316,10014,49903,6399,344,13.175699736486,11.3744075829384,-19.6388261851016,-6.47502093217974,23.8436064523021,-9.3176534937782,-14.2783769902414,-9.82797875031621,4.79855879462823,6.83229813664596
"32","North Dakota",126927,762062,0.166557314234275,-21.9063545150502,-38.8235294117647,"2020",582,6,103,62,411,4347,1001,2886,460,24,0,20,-9.64912280701754,-21.5189873417722,7.03125,8.89278557114228,20.3125,4.41389290882779,16.1616161616162,-7.69230769230769
"33","Ohio",1932854,11689100,0.16535524548511,NA,NA,"2020",17291,468,1735,4705,10383,67331,14196,43989,9146,NA,6.77411386933433,39.7014925373134,-17.0253467240555,-10.636277302944,22.1098435846172,-7.39278739031166,-12.109955423477,-7.38962925535275,1.00496963003864,NA
"34","Oklahoma",1177315,3956971,0.297529347574192,-16.722856486093,-35.0170502983802,"2020",9519,138,962,1582,6837,48466,10489,30047,7930,376,7.03924434948837,5.34351145038168,2.12314225053079,-2.94478527607362,10.4523424878837,-3.81058230460842,-7.82952548330405,-6.03852648695978,12.8343767785999,19.3650793650794
"35","Oregon",1438569,4217737,0.34107603200484,-14.2875834096559,-33.6866512090096,"2020",NA,NA,578,1359,3969,54232,6559,37955,9718,616,NA,NA,-26.9279393173198,-12.7727856225931,4.97222956889711,-5.6128931200724,-4.31801604668125,-7.40876268540203,1.12382934443289,47.0167064439141
"36","Pennsylvania",NA,NA,NA,-14.0989668297988,-43.719035560938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Rhode Island",179603,1059361,0.169538995677583,-23.8119570771589,-40.2095612311722,"2020",870,17,66,183,604,4288,598,3149,541,8,-2.57558790593505,30.7692307692308,-38.3177570093458,-24.0663900414938,13.5338345864662,-21.13297774508,-16.3636363636364,-25.8186101295642,13.4171907756813,60
"38","South Carolina",257085,5148714,0.0499318859039364,-16.5640916808149,-43.7313836988898,"2020",1995,55,144,418,1378,9216,977,7106,1133,46,22.0183486238532,61.7647058823529,-9.43396226415094,29.0123456790123,23.2558139534884,-8.56235737672388,-14.821272885789,-4.87282463186077,-22.5034199726402,109.090909090909
"39","South Dakota",187370,884659,0.211799122599781,-15.7853810264386,-25.5767077267637,"2020",1118,11,97,102,908,5867,684,4259,924,41,24.6376811594203,175,-16.3793103448276,50,28.0677009873061,3.78560056607111,-1.58273381294964,-0.953488372093025,40.4255319148936,41.3793103448276
"40","Tennessee",2024769,6829174,0.296488125796765,NA,NA,"2020",28826,491,1241,4513,22581,90830,12650,66865,11315,528,17.250355908074,38.7005649717514,-14.7664835164835,-10.8102766798419,27.4682472480948,-4.22110446785402,-13.0105900151286,-5.09545099709034,15.0366002440016,17.5946547884187
"41","Texas",11861201,28995881,0.409065032374771,-14.8063220533309,-40.4576739432459,"2020",75180,1112,5386,18314,50368,NA,NA,239013,NA,1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Utah",456029,3205958,0.14224422154002,1.71376481312671,-27.4094158245009,"2020",2855,27,404,626,1798,22278,2568,16239,3471,89,6.49011562849684,17.3913043478261,-8.80361173814899,8.68055555555556,9.70103721781575,20.9118046132972,16.3570457634798,15.5882980995089,60.0276625172891,71.1538461538461
"43","Vermont",NA,NA,NA,-18.93536121673,-16.5994011196459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Virginia",1648345,8535519,0.1931159663519,NA,NA,"2020",5505,171,363,1045,3926,33691,2996,27415,3280,143,-5.97779675491034,-0.58139534883721,-28.6836935166994,-25.1432664756447,3.91741662255161,-17.8168069276741,-21.7141363992684,-18.4247329425417,-7.89104184217916,-18.2857142857143
"45","Washington",1612034,7614893,0.211694898405007,-18.3531488500078,-37.196310250747,"2020",9027,111,723,2490,5703,72562,15512,47185,9865,472,-4.12108337758895,79.0322580645161,-26.5243902439024,-7.36607142857143,0.387255764830141,-3.72178805047302,20.2760331860123,-11.9337800257564,10.9548982116747,71.6363636363636
"46","West Virginia",NA,NA,NA,-11.1176470588235,-10.6048906048906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Wisconsin",1056495,5822434,0.181452464725233,-15.3797628059551,-43.4111895708854,"2020",10867,210,568,2139,7950,25995,5075,15529,5391,345,11.2852022529442,92.6605504587156,-20.5594405594406,-4.38086723290121,18.5859188544153,4.02577133938933,-0.431626446929567,-0.352926078028748,25.1392757660167,54.0178571428571
"48","Wyoming",NA,NA,NA,-7.0389303971687,-21.326164874552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
